scenario,building,city,year,occupied_hours,unmet_hours,annual_kwh,peak_kw,baseline_peak_year,baseline_peak_kw,ulh_ratio,ulh_percent,stress_index,stress_per_1000kwh,peak_ratio
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2025,2349,194.66666666666436,363930.5555555847,214.10830628208268,2025,214.10830628208268,0.08287214417482518,8.287214417482518,0.0005349005839025573,0.5349005839025573,1.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2026,2349,195.1666666666643,364625.0000000292,159.22545113656187,2025,214.10830628208268,0.08308500070952077,8.308500070952077,0.0005352531139297872,0.5352531139297872,0.743667790855279
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2027,2349,339.6666666666703,390844.4444444757,161.61691234795288,2025,214.10830628208268,0.1446005392365561,14.460053923655611,0.0008690584489424006,0.8690584489424007,0.7548371903658253
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2028,2349,234.16666666666208,376819.4444444746,160.3340027852634,2025,214.10830628208268,0.09968781041577782,9.968781041577781,0.0006214293612472198,0.6214293612472198,0.7488453183783871
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2029,2349,246.83333333332803,370980.5555555853,157.53301848803824,2025,214.10830628208268,0.10508017596139976,10.508017596139977,0.0006653538295657227,0.6653538295657226,0.7357632276091717
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2030,2349,276.3333333333298,379627.7777778082,160.63962357815856,2025,214.10830628208268,0.1176387115084418,11.76387115084418,0.0007279059897852484,0.7279059897852483,0.750272730505465
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2031,2349,307.6666666666667,396986.1111111429,159.969454708664,2025,214.10830628208268,0.1309777210160352,13.09777210160352,0.0007750061225203172,0.7750061225203172,0.7471426844034158
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2032,2349,194.49999999999767,363563.8888889179,160.43074978696325,2025,214.10830628208268,0.0828011919965933,8.28011919965933,0.0005349816248098957,0.5349816248098956,0.7492971784831154
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2033,2349,133.83333333333445,349025.00000002794,159.28005799823896,2025,214.10830628208268,0.05697459912019347,5.6974599120193465,0.0003834491321060776,0.3834491321060776,0.7439228340277056
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2034,2349,220.8333333333295,379377.77777780814,159.26842943651087,2025,214.10830628208268,0.09401163615722839,9.401163615722838,0.00058209348641044,0.58209348641044,0.7438685224415276
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2035,2349,243.33333333332823,381813.8888889194,158.7498206060417,2025,214.10830628208268,0.10359018021853053,10.359018021853053,0.0006373087528099871,0.6373087528099871,0.7414463425668901
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2036,2349,208.99999999999685,375380.5555555856,160.80997154094717,2025,214.10830628208268,0.0889740315027658,8.89740315027658,0.000556768316597178,0.556768316597178,0.751068346358706
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2037,2349,245.99999999999477,367563.8888889183,162.48591483979914,2025,214.10830628208268,0.10472541507024043,10.472541507024042,0.0006692714040642294,0.6692714040642294,0.7588958955460969
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2038,2349,291.83333333333155,384713.88888891967,154.82580688308516,2025,214.10830628208268,0.12423726408400662,12.423726408400663,0.000758572387849491,0.758572387849491,0.7231191053331009
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2039,2349,240.99999999999503,377405.5555555858,160.04246124628116,2025,214.10830628208268,0.10259684972328438,10.259684972328438,0.0006385703560860794,0.6385703560860795,0.7474836638772387
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2040,2349,248.66666666666129,388116.6666666977,205.7598120893575,2025,214.10830628208268,0.10586064992195031,10.58606499219503,0.0006407008202000466,0.6407008202000466,0.9610080788658136
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2041,2349,334.50000000000307,394508.3333333649,160.03442676591322,2025,214.10830628208268,0.14240102171136784,14.240102171136785,0.0008478908345830707,0.8478908345830708,0.7474461385681676
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2042,2349,221.4999999999961,382811.1111111417,159.28005799823896,2025,214.10830628208268,0.09429544487015586,9.429544487015585,0.0005786143441789701,0.5786143441789702,0.7439228340277056
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2043,2349,310.0000000000003,382380.5555555861,164.74227563465328,2025,214.10830628208268,0.13197105151128152,13.197105151128152,0.0008107106794423181,0.8107106794423181,0.7694343040461457
