year,HDD_18C,CDD_18C,epw_file
2025,891.6791666666664,698.5333333333333,Los_Angeles_2025_climatedelta.epw
2026,918.2583333333332,695.0416666666666,Los_Angeles_2026_climatedelta.epw
2027,572.8958333333334,800.5041666666666,Los_Angeles_2027_climatedelta.epw
2028,746.8416666666667,746.8625000000001,Los_Angeles_2028_climatedelta.epw
2029,840.1208333333334,693.9625,Los_Angeles_2029_climatedelta.epw
2030,801.1750000000001,731.8041666666667,Los_Angeles_2030_climatedelta.epw
2031,516.025,942.7,Los_Angeles_2031_climatedelta.epw
2032,985.425,528.375,Los_Angeles_2032_climatedelta.epw
2033,1008.1124999999998,331.89166666666665,Los_Angeles_2033_climatedelta.epw
2034,860.4916666666667,680.7916666666666,Los_Angeles_2034_climatedelta.epw
2035,745.7458333333334,832.3208333333332,Los_Angeles_2035_climatedelta.epw
2036,742.9458333333333,815.275,Los_Angeles_2036_climatedelta.epw
2037,960.9166666666666,640.3916666666667,Los_Angeles_2037_climatedelta.epw
2038,574.7541666666666,811.5,Los_Angeles_2038_climatedelta.epw
2039,797.2958333333332,709.2333333333332,Los_Angeles_2039_climatedelta.epw
2040,495.2583333333334,762.6708333333332,Los_Angeles_2040_climatedelta.epw
2041,641.6875,965.6375000000002,Los_Angeles_2041_climatedelta.epw
2042,709.7375000000001,655.7375,Los_Angeles_2042_climatedelta.epw
2043,980.4166666666666,798.7458333333333,Los_Angeles_2043_climatedelta.epw
2044,728.5875,777.8625000000001,Los_Angeles_2044_climatedelta.epw
2045,580.1666666666666,978.9083333333334,Los_Angeles_2045_climatedelta.epw
2046,661.6583333333333,869.75,Los_Angeles_2046_climatedelta.epw
2047,723.2041666666668,711.3458333333333,Los_Angeles_2047_climatedelta.epw
2048,595.7083333333334,977.475,Los_Angeles_2048_climatedelta.epw
2049,797.1541666666666,616.1916666666666,Los_Angeles_2049_climatedelta.epw
2050,570.6958333333333,893.1416666666668,Los_Angeles_2050_climatedelta.epw
2051,718.9666666666667,814.6083333333332,Los_Angeles_2051_climatedelta.epw
2052,637.125,925.0541666666668,Los_Angeles_2052_climatedelta.epw
2053,656.8083333333333,598.7958333333332,Los_Angeles_2053_climatedelta.epw
2054,641.5041666666667,772.6625,Los_Angeles_2054_climatedelta.epw
2055,647.2333333333333,1007.8125,Los_Angeles_2055_climatedelta.epw
2056,519.9333333333333,980.9333333333334,Los_Angeles_2056_climatedelta.epw
2057,466.4416666666666,886.4666666666666,Los_Angeles_2057_climatedelta.epw
2058,361.5291666666667,1407.3708333333334,Los_Angeles_2058_climatedelta.epw
2059,570.4208333333333,924.2125,Los_Angeles_2059_climatedelta.epw
2060,591.3291666666667,817.2333333333332,Los_Angeles_2060_climatedelta.epw
2061,398.3208333333334,1038.525,Los_Angeles_2061_climatedelta.epw
2062,564.3333333333334,1046.0083333333334,Los_Angeles_2062_climatedelta.epw
2063,593.5916666666667,759.5083333333332,Los_Angeles_2063_climatedelta.epw
2064,556.9208333333333,1035.3958333333333,Los_Angeles_2064_climatedelta.epw
