Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 01/01  01:00:00,54157129.97593142,54157129.97593142 
 01/01  02:00:00,54157290.74955592,54157290.74955592 
 01/01  03:00:00,54157290.74955592,54157290.74955592 
 01/01  04:00:00,54157290.74955592,54157290.74955592 
 01/01  05:00:00,54157290.74955592,54157290.74955592 
 01/01  06:00:00,54157290.74955592,54157290.74955592 
 01/01  07:00:00,74447615.50655627,74447615.50655627 
 01/01  08:00:00,53876451.96138742,53876451.961387426 
 01/01  09:00:00,53123142.62594655,53123142.62594655 
 01/01  10:00:00,53100571.45300382,53100571.45300382 
 01/01  11:00:00,53100571.45300382,53100571.45300382 
 01/01  12:00:00,53100571.45300382,53100571.45300382 
 01/01  13:00:00,62940707.290137485,62940707.290137485 
 01/01  14:00:00,82877292.15820125,82877292.15820125 
 01/01  15:00:00,71251154.129628,71251154.12962802 
 01/01  16:00:00,53115767.485983044,53115767.485983044 
 01/01  17:00:00,60472312.89170639,60472312.89170638 
 01/01  18:00:00,74637639.57987787,74637639.57987787 
 01/01  19:00:00,65597289.79607374,65597289.79607374 
 01/01  20:00:00,56920794.74955592,56920794.74955593 
 01/01  21:00:00,56920794.74955592,56920794.74955593 
 01/01  22:00:00,56920794.74955592,56920794.74955593 
 01/01  23:00:00,56920794.74955592,56920794.74955593 
 01/01  24:00:00,56920794.74955592,56920794.74955593 
 01/02  01:00:00,65407915.1537362,65407915.1537362 
 01/02  02:00:00,65407915.1537362,65407915.1537362 
 01/02  03:00:00,65407915.1537362,65407915.1537362 
 01/02  04:00:00,65407915.1537362,65407915.1537362 
 01/02  05:00:00,65407915.1537362,65407915.1537362 
 01/02  06:00:00,65407915.1537362,65407915.1537362 
 01/02  07:00:00,139338118.249269,139338118.24926904 
 01/02  08:00:00,250536157.67764503,250536157.6776451 
 01/02  09:00:00,271900744.35249,271900744.35249007 
 01/02  10:00:00,244194628.9092151,244194628.9092151 
 01/02  11:00:00,243254608.47642437,243254608.4764244 
 01/02  12:00:00,251885361.51041615,251885361.5104162 
 01/02  13:00:00,250093348.8445423,250093348.84454238 
 01/02  14:00:00,260930347.5760394,260930347.57603943 
 01/02  15:00:00,254111201.42287263,254111201.42287266 
 01/02  16:00:00,260107862.6477369,260107862.64773697 
 01/02  17:00:00,280595408.005604,280595408.0056041 
 01/02  18:00:00,216753303.8884988,216753303.8884988 
 01/02  19:00:00,148518250.4013461,148518250.40134606 
 01/02  20:00:00,144929133.90664592,144929133.9066459 
 01/02  21:00:00,142173768.4637707,142173768.4637707 
 01/02  22:00:00,146899134.329899,146899134.32989898 
 01/02  23:00:00,85134722.37354441,85134722.37354442 
 01/02  24:00:00,80131530.28038286,80131530.28038286 
 01/03  01:00:00,65597949.44438682,65597949.44438682 
 01/03  02:00:00,65407915.1537362,65407915.1537362 
 01/03  03:00:00,65407915.1537362,65407915.1537362 
 01/03  04:00:00,65407915.1537362,65407915.1537362 
 01/03  05:00:00,65407915.1537362,65407915.1537362 
 01/03  06:00:00,65407915.1537362,65407915.1537362 
 01/03  07:00:00,125282384.51506099,125282384.51506099 
 01/03  08:00:00,230269725.30029058,230269725.30029064 
 01/03  09:00:00,282917697.2705068,282917697.2705069 
 01/03  10:00:00,259339322.0413845,259339322.04138452 
 01/03  11:00:00,253351031.54295194,253351031.54295197 
 01/03  12:00:00,261642355.99721965,261642355.99721968 
 01/03  13:00:00,299028747.11892104,299028747.1189211 
 01/03  14:00:00,268484491.05452466,268484491.05452466 
 01/03  15:00:00,261152714.6429363,261152714.64293632 
 01/03  16:00:00,268617885.45757556,268617885.45757556 
 01/03  17:00:00,284514651.00649023,284514651.00649023 
 01/03  18:00:00,257286263.16314387,257286263.16314393 
 01/03  19:00:00,177011497.6847711,177011497.6847711 
 01/03  20:00:00,172086287.43604848,172086287.43604848 
 01/03  21:00:00,167990012.97703898,167990012.977039 
 01/03  22:00:00,172091828.23747334,172091828.2374734 
 01/03  23:00:00,85134722.37354441,85134722.37354442 
 01/03  24:00:00,80131530.28038286,80131530.28038286 
 01/04  01:00:00,65597949.44438682,65597949.44438682 
 01/04  02:00:00,65407915.1537362,65407915.1537362 
 01/04  03:00:00,65407915.1537362,65407915.1537362 
 01/04  04:00:00,65407915.1537362,65407915.1537362 
 01/04  05:00:00,65407915.1537362,65407915.1537362 
 01/04  06:00:00,65407915.1537362,65407915.1537362 
 01/04  07:00:00,136777671.543966,136777671.54396603 
 01/04  08:00:00,245705724.74710727,245705724.74710733 
 01/04  09:00:00,304941460.9824126,304941460.98241264 
 01/04  10:00:00,281492779.3785478,281492779.3785479 
 01/04  11:00:00,273007383.6681745,273007383.6681745 
 01/04  12:00:00,278606909.84057045,278606909.84057045 
 01/04  13:00:00,301606929.6023814,301606929.6023814 
 01/04  14:00:00,284110215.5623623,284110215.5623624 
 01/04  15:00:00,276958685.37362826,276958685.3736283 
 01/04  16:00:00,279755980.44350016,279755980.4435003 
 01/04  17:00:00,291326645.32232165,291326645.3223217 
 01/04  18:00:00,258370463.3701666,258370463.37016666 
 01/04  19:00:00,183493630.20933616,183493630.20933616 
 01/04  20:00:00,179067788.10498893,179067788.1049889 
 01/04  21:00:00,174697784.80277237,174697784.80277237 
 01/04  22:00:00,176883161.85589704,176883161.85589704 
 01/04  23:00:00,85134722.37354441,85134722.37354442 
 01/04  24:00:00,80131530.28038286,80131530.28038286 
 01/05  01:00:00,65597949.44438682,65597949.44438682 
 01/05  02:00:00,65407915.1537362,65407915.1537362 
 01/05  03:00:00,65407915.1537362,65407915.1537362 
 01/05  04:00:00,65407915.1537362,65407915.1537362 
 01/05  05:00:00,65407915.1537362,65407915.1537362 
 01/05  06:00:00,65407915.1537362,65407915.1537362 
 01/05  07:00:00,139581389.47764644,139581389.47764644 
 01/05  08:00:00,242586102.95261788,242586102.95261788 
 01/05  09:00:00,293479599.36150724,293479599.3615073 
 01/05  10:00:00,263696698.5834342,263696698.5834342 
 01/05  11:00:00,258590781.03077465,258590781.0307747 
 01/05  12:00:00,267319485.91099793,267319485.91099793 
 01/05  13:00:00,267389165.37781084,267389165.37781093 
 01/05  14:00:00,279820092.6880814,279820092.68808144 
 01/05  15:00:00,272288354.893587,272288354.893587 
 01/05  16:00:00,271912758.18502766,271912758.18502766 
 01/05  17:00:00,287694822.9827686,287694822.9827686 
 01/05  18:00:00,234802932.36799282,234802932.36799285 
 01/05  19:00:00,148273310.14961758,148273310.14961758 
 01/05  20:00:00,141136394.03506473,141136394.03506473 
 01/05  21:00:00,136914098.14815265,136914098.14815265 
 01/05  22:00:00,142789353.9049189,142789353.9049189 
 01/05  23:00:00,85134722.37354441,85134722.37354442 
 01/05  24:00:00,80131530.28038286,80131530.28038286 
 01/06  01:00:00,65597949.44438682,65597949.44438682 
 01/06  02:00:00,65407915.1537362,65407915.1537362 
 01/06  03:00:00,65407915.1537362,65407915.1537362 
 01/06  04:00:00,65407915.1537362,65407915.1537362 
 01/06  05:00:00,65407915.1537362,65407915.1537362 
 01/06  06:00:00,65407915.1537362,65407915.1537362 
 01/06  07:00:00,128868431.39011817,128868431.39011817 
 01/06  08:00:00,229362472.28097108,229362472.28097108 
 01/06  09:00:00,284555933.35871977,284555933.3587199 
 01/06  10:00:00,254033585.53143817,254033585.53143823 
 01/06  11:00:00,249338480.85567138,249338480.8556714 
 01/06  12:00:00,258985998.84735447,258985998.84735453 
 01/06  13:00:00,275308038.83437055,275308038.83437055 
 01/06  14:00:00,269092269.5211676,269092269.52116764 
 01/06  15:00:00,260189803.61993358,260189803.6199336 
 01/06  16:00:00,261905343.82164216,261905343.82164216 
 01/06  17:00:00,281050518.3357593,281050518.3357593 
 01/06  18:00:00,241005754.73064604,241005754.73064607 
 01/06  19:00:00,153965380.2319712,153965380.2319712 
 01/06  20:00:00,148710657.27359283,148710657.2735928 
 01/06  21:00:00,144611269.0661633,144611269.0661633 
 01/06  22:00:00,148695618.88050425,148695618.88050422 
 01/06  23:00:00,85134722.37354441,85134722.37354442 
