scenario,building,city,year,sql_path,extracted_at,interval_minutes,time_rows,representative_zone,abups_occupied_cooling_not_met_hours,abups_occupied_heating_not_met_hours,abups_time_not_comfortable_simple_ashrae55_hours,conditioned_building_area_m2,cooling_electricity_annual_gj,cooling_electricity_annual_kwh,cooling_electricity_min_kw,cooling_electricity_min_timestamp,cooling_electricity_min_w,cooling_electricity_peak_kw,cooling_electricity_peak_timestamp,cooling_electricity_peak_w,electricity_facility_annual_gj,electricity_facility_annual_kwh,electricity_facility_min_kw,electricity_facility_min_timestamp,electricity_facility_min_w,electricity_facility_peak_kw,electricity_facility_peak_timestamp,electricity_facility_peak_w,electricity_hvac_annual_gj,electricity_hvac_annual_kwh,electricity_hvac_min_kw,electricity_hvac_min_timestamp,electricity_hvac_min_w,electricity_hvac_peak_kw,electricity_hvac_peak_timestamp,electricity_hvac_peak_w,environment_period_index,facility_building_electricity_demand_rate_max_kw,facility_building_electricity_demand_rate_mean_kw,facility_building_electricity_demand_rate_min_kw,facility_cooling_setpoint_not_met_occupied_time_max_timestep_hours,facility_cooling_setpoint_not_met_occupied_time_total_hours,facility_cooling_setpoint_not_met_time_max_timestep_hours,facility_cooling_setpoint_not_met_time_total_hours,facility_heating_setpoint_not_met_occupied_time_max_timestep_hours,facility_heating_setpoint_not_met_occupied_time_total_hours,facility_heating_setpoint_not_met_time_max_timestep_hours,facility_heating_setpoint_not_met_time_total_hours,facility_hvac_electricity_demand_rate_max_kw,facility_hvac_electricity_demand_rate_mean_kw,facility_hvac_electricity_demand_rate_min_kw,facility_purchased_electricity_energy_peak_timestep_kwh,facility_purchased_electricity_energy_total_kwh,facility_purchased_electricity_rate_max_kw,facility_purchased_electricity_rate_mean_kw,facility_purchased_electricity_rate_min_kw,facility_total_electricity_demand_rate_max_kw,facility_total_electricity_demand_rate_mean_kw,facility_total_electricity_demand_rate_min_kw,fans_electricity_annual_gj,fans_electricity_annual_kwh,fans_electricity_min_kw,fans_electricity_min_timestamp,fans_electricity_min_w,fans_electricity_peak_kw,fans_electricity_peak_timestamp,fans_electricity_peak_w,heating_electricity_annual_gj,heating_electricity_annual_kwh,heating_electricity_min_kw,heating_electricity_min_timestamp,heating_electricity_min_w,heating_electricity_peak_kw,heating_electricity_peak_timestamp,heating_electricity_peak_w,interior_equipment_electricity_annual_gj,interior_equipment_electricity_annual_kwh,interior_equipment_electricity_min_kw,interior_equipment_electricity_min_timestamp,interior_equipment_electricity_min_w,interior_equipment_electricity_peak_kw,interior_equipment_electricity_peak_timestamp,interior_equipment_electricity_peak_w,interior_lights_electricity_annual_gj,interior_lights_electricity_annual_kwh,interior_lights_electricity_min_kw,interior_lights_electricity_min_timestamp,interior_lights_electricity_min_w,interior_lights_electricity_peak_kw,interior_lights_electricity_peak_timestamp,interior_lights_electricity_peak_w,outdoor_drybulb_c_max,outdoor_drybulb_c_mean,outdoor_drybulb_c_min,outdoor_rh_pct_max,outdoor_rh_pct_mean,outdoor_rh_pct_min,outdoor_wetbulb_c_max,outdoor_wetbulb_c_mean,outdoor_wetbulb_c_min,rep_zone_humidity_ratio_max,rep_zone_humidity_ratio_mean,rep_zone_humidity_ratio_min,rep_zone_mean_air_temp_c_max,rep_zone_mean_air_temp_c_mean,rep_zone_mean_air_temp_c_min,rep_zone_mean_radiant_temp_c_max,rep_zone_mean_radiant_temp_c_mean,rep_zone_mean_radiant_temp_c_min,rep_zone_operative_temp_c_max,rep_zone_operative_temp_c_mean,rep_zone_operative_temp_c_min,rep_zone_rh_pct_max,rep_zone_rh_pct_mean,rep_zone_rh_pct_min,rep_zone_sensible_cooling_energy_peak_timestep_kwh,rep_zone_sensible_cooling_energy_total_kwh,rep_zone_sensible_cooling_rate_max_kw,rep_zone_sensible_cooling_rate_mean_kw,rep_zone_sensible_cooling_rate_min_kw,rep_zone_sensible_heating_energy_peak_timestep_kwh,rep_zone_sensible_heating_energy_total_kwh,rep_zone_sensible_heating_rate_max_kw,rep_zone_sensible_heating_rate_mean_kw,rep_zone_sensible_heating_rate_min_kw,rep_zone_thermostat_air_temp_c_max,rep_zone_thermostat_air_temp_c_mean,rep_zone_thermostat_air_temp_c_min,total_building_area_m2,unconditioned_building_area_m2,annual_edh_c_h,daily_edh_max_k_h,delta_t_max_k,daily_edh_exceed_6kh_count
CMIP6_CNRM_ssp245,office,Los_Angeles,2025,/lustre1/g/arch_guo/freeze-and-stress/simulations/CMIP6_CNRM_ssp245/office/Los_Angeles/2025/eplusout.sql,2026-05-17T15:07:42,10,52560,CORE_BOTTOM,171.0,8.0,895.17,4982.19,195.81,54391.666666671015,0.0,01-JAN-00:10,0.0,64.08871,15-AUG-13:30,64088.71,1287.43,357619.4444444731,12.32813,09-JUL-17:30,12328.13,155.37216,15-AUG-13:00,155372.16,298.37,82880.55555556218,0.16834,01-JAN-00:10,168.34,93.31626,15-AUG-13:30,93316.26,3,72.7623949020037,31.35844236168648,12.150751518017454,0.16666666666666666,171.0,0.16666666666666666,181.5,0.16666666666666666,8.0,0.16666666666666666,8.0,93.32310999070404,9.465805456887164,0.16834104864229793,25.895360257175465,357620.41089070507,155.37216154305278,40.824247818573646,12.3281310779671,155.37216154305278,40.824247818573646,12.3281310779671,86.32,23977.777777779695,0.0,01-JAN-00:10,0.0,28.396369999999997,10-JUL-14:20,28396.37,4.54,1261.111111111212,0.0,01-JAN-00:10,0.0,50.13977,20-MAR-06:10,50139.77,705.43,195952.77777779344,11.241340000000001,01-JAN-00:10,11241.34,45.8647,02-JAN-08:10,45864.7,233.2,64777.777777782954,0.9094099999999999,30-JUL-17:20,909.41,25.003790000000002,02-JAN-17:00,25003.79,27.0,16.83233923135464,3.8,100.0,81.45830479452054,39.0,25.454073013936505,14.759384557169087,3.535418622073347,0.015942802069027876,0.009368968106306736,0.005198276881947954,27.13529333007246,24.839456715026163,23.345175236270517,27.008865014219076,25.30118013072246,23.876158471814257,26.856449114593705,25.070318422874312,23.610666854042385,73.95030611370143,48.0154405873288,27.341249682299967,4.567810407471676,69267.75607816623,27.406862444830054,7.907278091114867,0.0,0.0,0.0,0.0,0.0,0.0,27.13529333007246,24.839456715026163,23.345175236270517,4982.19,0.0,70.349,8.0983,0.8564,2
CMIP6_CNRM_ssp245,office,Los_Angeles,2026,/lustre1/g/arch_guo/freeze-and-stress/simulations/CMIP6_CNRM_ssp245/office/Los_Angeles/2026/eplusout.sql,2026-05-17T15:07:50,10,52560,CORE_BOTTOM,191.0,5.0,911.5,4982.19,218.28,60633.33333333818,0.0,01-JAN-00:10,0.0,71.45183,14-JUL-14:00,71451.83,1317.62,366005.5555555848,12.34431,30-APR-17:20,12344.31,162.63119,14-JUL-13:00,162631.19,329.23,91452.7777777851,0.16834,01-JAN-00:10,168.34,100.67939,14-JUL-14:00,100679.39,3,72.7623949020037,31.33705092806236,12.156446849686157,0.16666666666666666,191.0,0.16666666666666666,209.0,0.16666666666666666,5.0,0.16666666666666666,5.0,100.68623603170683,10.444430804884037,0.16834104864229793,27.10519776403725,366005.7799806104,162.63118658422349,41.781481732946396,12.344306828107406,162.63118658422349,41.781481732946396,12.344306828107406,95.05,26402.777777779887,0.0,01-JAN-00:10,0.0,28.396369999999997,14-JUL-10:20,28396.37,4.2,1166.66666666676,0.0,01-JAN-00:10,0.0,49.934779999999996,19-JAN-07:10,49934.78,705.43,195952.77777779344,11.241340000000001,01-JAN-00:10,11241.34,45.8647,02-JAN-08:10,45864.7,232.52,64588.88888889406,0.91511,04-JUN-17:20,915.11,25.003790000000002,02-JAN-17:00,25003.79,33.5,17.29935882800609,2.9,100.0,67.25269216133943,32.0,28.918246028900295,13.660051753003334,0.03342986890551617,0.013382465122569463,0.007969904685385809,0.003283164797893601,27.02443735748921,24.85487880207046,23.659361347683195,26.455572364036282,25.357476248342692,24.2704480126118,26.73490709077752,25.106177525206576,23.98241263359342,68.370118091734,40.89463854420533,18.18101065402431,4.461231385500545,71631.21999074965,26.76738831300327,8.177079907619824,0.0,0.0,0.0,0.0,0.0,0.0,27.02443735748921,24.85487880207046,23.659361347683195,4982.19,0.0,66.5533,4.6275,0.7349,0
CMIP6_CNRM_ssp245,office,Los_Angeles,2027,/lustre1/g/arch_guo/freeze-and-stress/simulations/CMIP6_CNRM_ssp245/office/Los_Angeles/2027/eplusout.sql,2026-05-17T15:07:57,10,52560,CORE_BOTTOM,170.17,2.0,712.83,4982.19,219.5,60972.2222222271,0.0,01-JAN-00:10,0.0,63.30236,05-SEP-09:40,63302.36,1316.54,365705.5555555848,12.329270000000001,16-APR-17:20,12329.27,154.53896,10-AUG-16:00,154538.96,327.68,91022.22222222951,0.16834,01-JAN-00:10,168.34,92.52991,05-SEP-09:40,92529.91,3,72.7623949020037,31.35186127874886,12.155233145698869,0.16666666666666666,170.16666666666666,0.16666666666666666,188.83333333333331,0.16666666666666666,2.0,0.16666666666666666,2.0,92.53676070277179,10.395465470462893,0.16834104864229793,25.756493550465198,365706.58232309495,154.5389613027912,41.74732674921176,12.329265490621383,154.5389613027912,41.74732674921176,12.329265490621383,93.93,26091.666666668756,0.0,01-JAN-00:10,0.0,28.396369999999997,09-AUG-10:10,28396.37,2.56,711.111111111168,0.0,01-JAN-00:10,0.0,22.343220000000002,06-FEB-07:10,22343.22,705.43,195952.77777779344,11.241340000000001,01-JAN-00:10,11241.34,45.8647,02-JAN-08:10,45864.7,232.99,64719.444444449626,0.9138999999999999,29-MAY-17:20,913.9,25.003790000000002,02-JAN-17:00,25003.79,30.6,17.71696917808219,4.9,100.0,71.12961377473364,34.0,25.374392896853593,14.421035760342614,1.8650544352024314,0.013203682383458275,0.008576482221182147,0.0036445197681089277,27.04962392386803,24.8755782502646,23.86113074620507,26.47905202683684,25.386496892099547,24.55355791537421,26.75911129534081,25.131037571182073,24.227728552399377,67.33192831496375,43.96931234796515,18.267498755433284,4.29750243359055,72224.73886377412,25.7850146015433,8.24483320362718,0.0,0.0,0.0,0.0,0.0,0.0,27.04962392386803,24.8755782502646,23.86113074620507,4982.19,0.0,67.6352,5.105,0.7591,0
CMIP6_CNRM_ssp245,office,Los_Angeles,2028,/lustre1/g/arch_guo/freeze-and-stress/simulations/CMIP6_CNRM_ssp245/office/Los_Angeles/2028/eplusout.sql,2026-05-17T15:08:02,10,52560,CORE_BOTTOM,146.33,0.17,660.5,4982.19,230.27,63963.888888894006,0.0,01-JAN-00:10,0.0,60.03967,14-AUG-10:00,60039.67,1329.04,369177.7777778073,12.346969999999999,21-MAY-17:20,12346.97,145.97164999999998,03-AUG-08:00,145971.65,339.9,94416.66666667421,0.16834,01-JAN-00:10,168.34,83.88695,14-AUG-10:00,83886.95,3,72.7623949020037,31.36086966057887,12.15059750725924,0.16666666666666666,146.33333333333331,0.16666666666666666,164.83333333333331,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,83.89380075677047,10.782731041783386,0.16834104864229793,24.328608317668778,369177.94215269334,145.97164990601266,42.14360070236225,12.34697252265547,145.97164990601266,42.14360070236225,12.34697252265547,94.68,26300.000000002106,0.0,01-JAN-00:10,0.0,23.01609,14-AUG-10:00,23016.09,3.26,905.555555555628,0.0,01-JAN-00:10,0.0,43.06955,27-FEB-07:10,43069.55,705.43,195952.77777779344,11.241340000000001,01-JAN-00:10,11241.34,45.8647,02-JAN-08:10,45864.7,233.27,64797.22222222741,0.90926,25-JUN-17:20,909.26,25.003790000000002,02-JAN-17:00,25003.79,28.6,18.034351217656013,6.5,93.0,72.78441780821917,48.0,23.45807106637092,14.904447820603522,5.685619016037872,0.01261860343128729,0.00892665238429615,0.005412372587130703,26.961701487137844,24.877391742598057,23.585644733783035,26.385447536984287,25.390629168294165,24.151432432919478,26.668160359373037,25.13401045544611,23.868538583351256,65.0590073307338,45.68853537934855,26.757652063087033,4.366204553275977,72479.35348927819,26.19722731965586,8.273898800145913,0.0,0.0,0.0,0.0,0.0,0.0,26.961701487137844,24.877391742598057,23.585644733783035,4982.19,0.0,97.0069,6.3384,0.6682,2
CMIP6_CNRM_ssp245,office,Los_Angeles,2029,/lustre1/g/arch_guo/freeze-and-stress/simulations/CMIP6_CNRM_ssp245/office/Los_Angeles/2029/eplusout.sql,2026-05-17T15:08:09,10,52560,CORE_BOTTOM,188.83,13.0,945.5,4982.19,216.85,60236.111111115926,0.0,01-JAN-00:10,0.0,64.37585,30-SEP-12:50,64375.85,1313.87,364963.88888891804,12.32562,28-MAY-17:20,12325.62,155.16027,29-SEP-13:00,155160.27,324.91,90252.777777785,0.16834,01-JAN-00:10,168.34,93.07983,29-SEP-13:00,93079.83,3,72.7623949020037,31.35509204711334,12.15518997277857,0.16666666666666666,188.83333333333331,0.16666666666666666,202.66666666666666,0.16666666666666666,13.0,0.16666666666666666,13.0,93.08667557413484,10.307549724434145,0.16834104864229793,25.860044868091876,364964.741918756,155.16026920855123,41.66264177154749,12.32562138214048,155.16026920855123,41.66264177154749,12.32562138214048,91.33,25369.44444444647,0.0,01-JAN-00:10,0.0,28.396369999999997,17-JUL-09:10,28396.37,5.04,1400.000000000112,0.0,01-JAN-00:10,0.0,49.26447,13-MAR-06:10,49264.47,705.43,195952.77777779344,11.241340000000001,01-JAN-00:10,11241.34,45.8647,02-JAN-08:10,45864.7,233.09,64747.2222222274,0.91385,21-MAY-17:20,913.85,25.003790000000002,02-JAN-17:00,25003.79,29.9,17.03390886605784,3.6,100.0,78.67849124809742,49.0,26.599990844726562,14.682966336242378,2.9975823675202307,0.01638247921190112,0.009069477912732353,0.005031348020387641,27.24630250613808,24.85766302302329,23.382690837012948,27.345114088508666,25.335549355305435,23.91822103609972,27.013984951988892,25.096606189164362,23.650455936556334,77.81232252243653,46.4312194026094,27.341953511868205,4.635815683682428,70264.33251345727,27.81489410209457,8.021042524367267,0.0,0.0,0.0,0.0,0.0,0.0,27.24630250613808,24.85766302302329,23.382690837012948,4982.19,0.0,102.3024,11.8076,1.014,5
CMIP6_CNRM_ssp245,office,Los_Angeles,2030,/lustre1/g/arch_guo/freeze-and-stress/simulations/CMIP6_CNRM_ssp245/office/Los_Angeles/2030/eplusout.sql,2026-05-17T15:08:15,10,52560,CORE_BOTTOM,183.83,0.5,843.0,4982.19,267.31,74252.77777778372,0.0,01-JAN-00:10,0.0,63.31621,03-JUL-09:00,63316.21,1372.0,381111.1111111416,12.331010000000001,18-JUN-17:20,12331.01,153.10170000000002,03-JUL-09:00,153101.7,383.06,106405.55555556406,0.16834,01-JAN-00:10,168.34,91.84567,03-JUL-09:00,91845.67,3,72.7623949020037,31.35428253730951,12.15093460857326,0.16666666666666666,183.83333333333331,0.16666666666666666,202.16666666666666,0.16666666666666666,0.5,0.16666666666666666,0.5,91.85251565668426,12.151486454496908,0.16834104864229793,25.516949715183443,381110.5363682242,153.10169829110066,43.50576899180642,12.331007642555292,153.10169829110066,43.50576899180642,12.331007642555292,100.49,27913.88888889112,0.0,01-JAN-00:10,0.0,27.69792,03-JUL-09:00,27697.92,3.58,994.444444444524,0.0,01-JAN-00:10,0.0,49.90135,04-DEC-07:10,49901.35,705.43,195952.77777779344,11.241340000000001,01-JAN-00:10,11241.34,45.8647,02-JAN-08:10,45864.7,233.06,64738.88888889407,0.9096000000000001,30-JUL-17:20,909.6,25.003790000000002,02-JAN-17:00,25003.79,30.2,18.496333713850838,4.7,100.0,72.78023211567732,41.0,23.459676495359012,15.277159811324772,2.8961661887435985,0.012214654538490358,0.009064839057967304,0.005130002378670838,27.01152588693977,24.87505215122871,23.378862156271378,26.434325632081784,25.39974119541873,23.91996390996201,26.71728868171026,25.137396673323718,23.649413033116694,63.237210486563164,46.36568194830026,28.204745242636008,4.407634504039528,73118.95062942822,26.44580702423717,8.346912172309159,0.0,0.0,0.0,0.0,0.0,0.0,27.01152588693977,24.87505215122871,23.378862156271378,4982.19,0.0,140.6811,4.2749,0.7173,0
CMIP6_CNRM_ssp245,office,Los_Angeles,2031,/lustre1/g/arch_guo/freeze-and-stress/simulations/CMIP6_CNRM_ssp245/office/Los_Angeles/2031/eplusout.sql,2026-05-17T15:08:20,10,52560,CORE_BOTTOM,127.33,7.0,666.17,4982.19,222.24,61733.333333338276,0.0,01-JAN-00:10,0.0,63.506809999999994,18-SEP-12:30,63506.81,1322.18,367272.22222225164,12.37997,09-APR-17:20,12379.97,151.61884,19-SEP-08:30,151618.84,331.61,92113.88888889625,0.16834,01-JAN-00:10,168.34,90.36281,19-SEP-08:30,90362.81,3,72.7623949020037,31.406109161280177,12.15095316884246,0.16666666666666666,127.33333333333333,0.16666666666666666,144.33333333333331,0.16666666666666666,7.0,0.16666666666666666,7.0,90.36965760488508,10.519824883163746,0.16834104864229793,25.269806706550245,367271.18222932884,151.61884023930148,41.92593404444392,12.379969933351909,151.61884023930148,41.92593404444392,12.379969933351909,94.09,26136.1111111132,0.0,01-JAN-00:10,0.0,26.597720000000002,19-SEP-08:30,26597.72,3.58,994.444444444524,0.0,01-JAN-00:10,0.0,44.4343,08-DEC-07:10,44434.3,705.43,195952.77777779344,11.241340000000001,01-JAN-00:10,11241.34,45.8647,02-JAN-08:10,45864.7,234.7,65194.444444449655,0.90962,30-JUL-17:20,909.62,25.003790000000002,02-JAN-17:00,25003.79,30.000000000000004,17.66177416286149,3.4,100.0,71.82380136986302,41.0,24.670758482444953,14.474276480644011,2.086380702850076,0.013651344409556426,0.008675132431799595,0.004310636179625456,27.201830832719228,24.86858165768421,23.587626268335825,26.671222627041313,25.373273603569434,24.260749237714236,26.928895136802282,25.12092763062682,23.930692173840043,67.77927702931399,44.441839868534466,22.423710864698364,4.66728384796401,71910.67718049452,28.003703087784068,8.20898141329846,0.0,0.0,0.0,0.0,0.0,0.0,27.201830832719228,24.86858165768421,23.587626268335825,4982.19,0.0,96.1928,13.7767,0.9289,1
CMIP6_CNRM_ssp245,office,Los_Angeles,2032,/lustre1/g/arch_guo/freeze-and-stress/simulations/CMIP6_CNRM_ssp245/office/Los_Angeles/2032/eplusout.sql,2026-05-17T15:08:27,10,52560,CORE_BOTTOM,143.33,17.0,834.67,4982.19,195.5,54305.5555555599,0.0,01-JAN-00:10,0.0,63.18935,12-JUL-10:10,63189.35,1294.01,359447.22222225094,12.33042,25-JUN-17:40,12330.42,153.67329,12-JUL-10:10,153673.29,305.29,84802.77777778456,0.16834,01-JAN-00:10,168.34,92.41725,12-JUL-10:10,92417.25,3,72.7623949020037,31.347512220821784,12.154700106478519,0.16666666666666666,143.33333333333331,0.16666666666666666,160.33333333333331,0.16666666666666666,17.0,0.16666666666666666,17.0,92.42410253714091,9.685411515118036,0.16834104864229793,25.612214195259554,359448.4119268328,153.6732851715573,41.03292373593982,12.330420417009734,153.6732851715573,41.03292373593982,12.330420417009734,90.75,25208.33333333535,0.0,01-JAN-00:10,0.0,28.396369999999997,12-JUL-09:50,28396.37,7.35,2041.6666666668298,0.0,01-JAN-00:10,0.0,60.65463,27-MAR-06:10,60654.63,705.43,195952.77777779344,11.241340000000001,01-JAN-00:10,11241.34,45.8647,02-JAN-08:10,45864.7,232.85,64680.55555556073,0.9133600000000001,11-JUN-17:20,913.36,25.003790000000002,02-JAN-17:00,25003.79,28.1,16.9109046803653,2.7,100.0,71.63651065449011,42.0,23.60214918432943,13.721225793794668,0.23430909792532997,0.013421329274709477,0.008412614055993056,0.004142366620227498,26.939963619705324,24.818008046368934,23.042551063564755,26.37450414229487,25.293746994613702,23.52003205975441,26.65258341596227,25.055877520491318,23.281291561659582,68.07355403380906,43.241721301033024,21.98602330017722,4.379311185312394,70061.41379851225,26.275867111874366,7.997878287501399,0.0,0.0,0.0,0.0,0.0,0.0,26.939963619705324,24.818008046368934,23.042551063564755,4982.19,0.0,72.2263,4.4958,0.6526,0
CMIP6_CNRM_ssp245,office,Los_Angeles,2033,/lustre1/g/arch_guo/freeze-and-stress/simulations/CMIP6_CNRM_ssp245/office/Los_Angeles/2033/eplusout.sql,2026-05-17T15:08:33,10,52560,CORE_BOTTOM,157.0,4.33,671.67,4982.19,234.84,65233.33333333855,0.0,01-JAN-00:10,0.0,63.16071,17-JUL-15:20,63160.71,1340.2,372277.77777780755,12.32847,02-APR-17:20,12328.47,150.17103,17-JUL-15:10,150171.03,351.65,97680.55555556336,0.16834,01-JAN-00:10,168.34,88.42035,17-JUL-15:10,88420.35,3,72.7623949020037,31.341965460227833,12.150187554280443,0.16666666666666666,157.0,0.16666666666666666,178.16666666666666,0.16666666666666666,4.333333333333333,0.16666666666666666,4.333333333333333,88.42719750762357,11.155390427580874,0.16834104864229793,25.02850445700666,372276.8375772043,150.17102674203997,42.4973558878087,12.328468799328302,150.17102674203997,42.4973558878087,12.328468799328302,99.87,27741.666666668887,0.0,01-JAN-00:10,0.0,24.7077,17-JUL-15:10,24707.7,5.24,1455.555555555672,0.0,01-JAN-00:10,0.0,65.81852,17-JAN-07:10,65818.52,705.43,195952.77777779344,11.241340000000001,01-JAN-00:10,11241.34,45.8647,02-JAN-08:10,45864.7,232.68,64633.3333333385,0.90885,04-JUN-17:20,908.85,25.003790000000002,02-JAN-17:00,25003.79,32.3,17.968480783866056,1.2,90.0,70.64404490106546,45.0,23.14014130381174,14.539973730457112,-0.3174874369129757,0.01184958047344747,0.008707702470513914,0.004624291386357505,26.967192730828348,24.84972897437043,23.442682529612807,26.39012310284393,25.360641009476794,23.960955433762926,26.673081173322316,25.10518499192361,23.701818981687865,62.54751250173555,44.6322459147491,23.915344668027487,4.391448481512547,72184.28796201135,26.348690889075282,8.240215520777554,0.0,0.0,0.0,0.0,0.0,0.0,26.967192730828348,24.84972897437043,23.442682529612807,4982.19,0.0,115.8254,4.6924,0.6731,0
CMIP6_CNRM_ssp245,office,Los_Angeles,2034,/lustre1/g/arch_guo/freeze-and-stress/simulations/CMIP6_CNRM_ssp245/office/Los_Angeles/2034/eplusout.sql,2026-05-17T15:08:40,10,52560,CORE_BOTTOM,173.83,15.0,878.33,4982.19,228.82,63561.111111116195,0.0,01-JAN-00:10,0.0,63.48639,27-JUL-09:30,63486.39,1327.08,368633.3333333628,12.326690000000001,21-MAY-17:20,12326.69,157.51104,27-JUL-08:00,157511.04,338.17,93936.11111111863,0.16834,01-JAN-00:10,168.34,92.71394000000001,27-JUL-09:30,92713.94,3,72.7623949020037,31.35347798786484,12.157879934813206,0.16666666666666666,173.83333333333331,0.16666666666666666,187.5,0.16666666666666666,15.0,0.16666666666666666,15.0,92.72079202660541,10.728005903547363,0.16834104864229793,26.25183965320493,368633.79888877086,157.51103791922958,42.0814838914122,12.326694467226348,157.51103791922958,42.0814838914122,12.326694467226348,92.26,25627.77777777983,0.0,01-JAN-00:10,0.0,28.396369999999997,07-JUL-15:50,28396.37,5.4,1500.00000000012,0.0,01-JAN-00:10,0.0,52.66943,27-MAR-06:10,52669.43,705.43,195952.77777779344,11.241340000000001,01-JAN-00:10,11241.34,45.8647,02-JAN-08:10,45864.7,233.04,64733.33333333851,0.9165399999999999,14-MAY-17:20,916.54,25.003790000000002,02-JAN-17:00,25003.79,29.4,17.447118531202435,4.8,100.0,75.77016742770168,42.0,26.82610194985882,14.725525167832327,2.173159250784112,0.015405282986625286,0.008875301207853634,0.004240656946072128,26.87414277124409,24.84664903281707,23.396197116751033,26.291997544714768,25.334193219066666,23.936196239473958,26.580736565453282,25.09042112594187,23.666196678112495,73.58852295305319,45.505461127972715,23.060179923059927,4.4010506536703105,70833.48500235073,26.406303922021863,8.08601426967474,0.0,0.0,0.0,0.0,0.0,0.0,26.87414277124409,24.84664903281707,23.396197116751033,4982.19,0.0,73.8805,2.9616,0.5807,0
