scenario,building,city,year,sql_path,extracted_at,interval_minutes,time_rows,representative_zone,abups_occupied_cooling_not_met_hours,abups_occupied_heating_not_met_hours,abups_time_not_comfortable_simple_ashrae55_hours,conditioned_building_area_m2,cooling_electricity_annual_gj,cooling_electricity_annual_kwh,cooling_electricity_min_kw,cooling_electricity_min_timestamp,cooling_electricity_min_w,cooling_electricity_peak_kw,cooling_electricity_peak_timestamp,cooling_electricity_peak_w,electricity_facility_annual_gj,electricity_facility_annual_kwh,electricity_facility_min_kw,electricity_facility_min_timestamp,electricity_facility_min_w,electricity_facility_peak_kw,electricity_facility_peak_timestamp,electricity_facility_peak_w,electricity_hvac_annual_gj,electricity_hvac_annual_kwh,electricity_hvac_min_kw,electricity_hvac_min_timestamp,electricity_hvac_min_w,electricity_hvac_peak_kw,electricity_hvac_peak_timestamp,electricity_hvac_peak_w,environment_period_index,facility_building_electricity_demand_rate_max_kw,facility_building_electricity_demand_rate_mean_kw,facility_building_electricity_demand_rate_min_kw,facility_cooling_setpoint_not_met_occupied_time_max_timestep_hours,facility_cooling_setpoint_not_met_occupied_time_total_hours,facility_cooling_setpoint_not_met_time_max_timestep_hours,facility_cooling_setpoint_not_met_time_total_hours,facility_heating_setpoint_not_met_occupied_time_max_timestep_hours,facility_heating_setpoint_not_met_occupied_time_total_hours,facility_heating_setpoint_not_met_time_max_timestep_hours,facility_heating_setpoint_not_met_time_total_hours,facility_hvac_electricity_demand_rate_max_kw,facility_hvac_electricity_demand_rate_mean_kw,facility_hvac_electricity_demand_rate_min_kw,facility_purchased_electricity_energy_peak_timestep_kwh,facility_purchased_electricity_energy_total_kwh,facility_purchased_electricity_rate_max_kw,facility_purchased_electricity_rate_mean_kw,facility_purchased_electricity_rate_min_kw,facility_total_electricity_demand_rate_max_kw,facility_total_electricity_demand_rate_mean_kw,facility_total_electricity_demand_rate_min_kw,fans_electricity_annual_gj,fans_electricity_annual_kwh,fans_electricity_min_kw,fans_electricity_min_timestamp,fans_electricity_min_w,fans_electricity_peak_kw,fans_electricity_peak_timestamp,fans_electricity_peak_w,heating_electricity_annual_gj,heating_electricity_annual_kwh,heating_electricity_min_kw,heating_electricity_min_timestamp,heating_electricity_min_w,heating_electricity_peak_kw,heating_electricity_peak_timestamp,heating_electricity_peak_w,interior_equipment_electricity_annual_gj,interior_equipment_electricity_annual_kwh,interior_equipment_electricity_min_kw,interior_equipment_electricity_min_timestamp,interior_equipment_electricity_min_w,interior_equipment_electricity_peak_kw,interior_equipment_electricity_peak_timestamp,interior_equipment_electricity_peak_w,interior_lights_electricity_annual_gj,interior_lights_electricity_annual_kwh,interior_lights_electricity_min_kw,interior_lights_electricity_min_timestamp,interior_lights_electricity_min_w,interior_lights_electricity_peak_kw,interior_lights_electricity_peak_timestamp,interior_lights_electricity_peak_w,outdoor_drybulb_c_max,outdoor_drybulb_c_mean,outdoor_drybulb_c_min,outdoor_rh_pct_max,outdoor_rh_pct_mean,outdoor_rh_pct_min,outdoor_wetbulb_c_max,outdoor_wetbulb_c_mean,outdoor_wetbulb_c_min,rep_zone_humidity_ratio_max,rep_zone_humidity_ratio_mean,rep_zone_humidity_ratio_min,rep_zone_mean_air_temp_c_max,rep_zone_mean_air_temp_c_mean,rep_zone_mean_air_temp_c_min,rep_zone_mean_radiant_temp_c_max,rep_zone_mean_radiant_temp_c_mean,rep_zone_mean_radiant_temp_c_min,rep_zone_operative_temp_c_max,rep_zone_operative_temp_c_mean,rep_zone_operative_temp_c_min,rep_zone_rh_pct_max,rep_zone_rh_pct_mean,rep_zone_rh_pct_min,rep_zone_sensible_cooling_energy_peak_timestep_kwh,rep_zone_sensible_cooling_energy_total_kwh,rep_zone_sensible_cooling_rate_max_kw,rep_zone_sensible_cooling_rate_mean_kw,rep_zone_sensible_cooling_rate_min_kw,rep_zone_sensible_heating_energy_peak_timestep_kwh,rep_zone_sensible_heating_energy_total_kwh,rep_zone_sensible_heating_rate_max_kw,rep_zone_sensible_heating_rate_mean_kw,rep_zone_sensible_heating_rate_min_kw,rep_zone_thermostat_air_temp_c_max,rep_zone_thermostat_air_temp_c_mean,rep_zone_thermostat_air_temp_c_min,total_building_area_m2,unconditioned_building_area_m2,annual_edh_c_h,daily_edh_max_k_h,delta_t_max_k,daily_edh_exceed_6kh_count,hdd_18,cdd_18,summer_mean_drybulb_c,outdoor_humidity_ratio_mean,high_wetbulb_hours,high_rh_hours,annual_ghi_kwh_m2,summer_ghi_kwh_m2,peak_ghi_w_m2,extreme_solar_hours,hot_days_30c,hot_days_35c,heatwave_days,hot_nights,max_consec_hot_days_30c,max_consec_hot_days_35c
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2025,/lustre1/g/arch_guo/freeze-and-stress/simulations/CORDEX_CMIP5_REMO2015_rcp85/office/Los_Angeles/2025/eplusout.sql,2026-05-17T15:09:35,10,52560,CORE_BOTTOM,190.83,16.5,867.5,4982.19,196.71,54641.66666667104,0.0,01-JAN-00:10,0.0,63.15902,02-SEP-10:40,63159.02,1308.22,363394.4444444736,12.31533,30-JUL-17:20,12315.33,214.10831,02-JAN-07:10,214108.31,312.1,86694.44444445138,0.16857,09-APR-17:30,168.57,184.66795,02-JAN-07:10,184667.95,3,72.7623949020037,31.58217116970268,12.146718909946616,0.1666666666666666,190.8333333333333,0.1666666666666666,207.0,0.1666666666666666,16.5,0.1666666666666666,18.33333333333333,184.67479600308408,9.90120434017216,0.1685702147367054,35.68471771369481,363394.3694665036,214.10830628216888,41.48337550987483,12.315332988031358,214.10830628216888,41.48337550987483,12.315332988031358,93.91,26086.1111111132,0.0,01-JAN-08:40,0.0,28.39637,30-MAY-13:10,28396.37,9.78,2716.666666666884,0.0,01-JAN-08:40,0.0,179.39401,02-JAN-07:10,179394.01,705.43,195952.77777779344,11.24134,01-JAN-00:10,11241.34,45.8647,02-JAN-08:10,45864.7,240.25,66736.11111111645,0.90538,16-JUL-17:20,905.38,25.00379,02-JAN-17:00,25003.79,30.8,17.470552701674276,0.4,100.0,64.2872907153729,6.0,24.735176309057604,12.912466910123287,-1.093155434390931,0.0140975904920538,0.0077007909833148,0.0011434586654454,27.12104851985458,24.79742876466783,18.123555014303843,26.557368903889813,25.277700440663253,18.02591624366563,26.83481868905824,25.037564602665544,18.08083257224512,72.84034825777687,39.66502410849884,5.820084282331811,4.540342212791775,70555.68575416881,27.242053276750653,8.054302026731598,0.0,2.2602492988927483,16.398693469970578,13.56149579335649,0.0018719969714578,0.0,27.12104851985458,24.79742876466783,18.123555014303843,4982.19,0.0,119.6138,7.5629,0.8348,1,891.68,698.53,20.0482,0.00764816,0,4012,1917.17,662.24,1138.7,676,1,0,0,2,1,0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2026,/lustre1/g/arch_guo/freeze-and-stress/simulations/CORDEX_CMIP5_REMO2015_rcp85/office/Los_Angeles/2026/eplusout.sql,2026-05-17T15:09:38,10,52560,CORE_BOTTOM,194.17,13.83,994.67,4982.19,205.0,56944.444444449,0.0,01-JAN-00:10,0.0,62.90724,13-SEP-15:20,62907.24,1310.42,364005.5555555847,12.3195,30-JUL-17:30,12319.5,159.22545000000002,13-SEP-15:20,159225.45,314.99,87497.22222222922,0.16834,01-JAN-00:10,168.34,92.1424,13-SEP-15:20,92142.4,3,72.7623949020037,31.560241082101896,12.148998259266676,0.1666666666666666,194.16666666666663,0.1666666666666666,212.5,0.1666666666666666,13.833333333333332,0.1666666666666666,13.833333333333332,92.14924623459022,9.99286316924275,0.1683410486422979,26.537575189432324,364005.1932417791,159.22545113659393,41.55310425134464,12.319497431245424,159.22545113659393,41.55310425134464,12.319497431245424,91.74,25483.33333333537,0.0,01-JAN-00:10,0.0,28.39637,07-JUL-13:50,28396.37,6.55,1819.4444444445896,0.0,01-JAN-00:10,0.0,71.26075,02-JAN-07:10,71260.75,705.43,195952.77777779344,11.24134,01-JAN-00:10,11241.34,45.8647,02-JAN-08:10,45864.7,239.56,66544.44444444976,0.90766,30-JUL-17:20,907.66,25.00379,02-JAN-17:00,25003.79,31.5,17.387962328767124,3.1,100.0,64.50836187214612,7.0,22.93989310920526,13.020468494882232,-0.6974044658288736,0.0125069957473026,0.0077996670969238,0.0009633681081301,27.088228410142776,24.828102490524238,22.835147444179377,26.511873810750007,25.31726239491268,23.29513344235828,26.796130219724763,25.07268244271846,23.065140443268827,64.72483058381853,40.04084251383597,4.893931313742563,4.50369849935892,70749.22644206736,27.02219099615352,8.076395712564768,0.0,0.0,0.0,0.0,0.0,0.0,27.088228410142776,24.828102490524238,22.835147444179377,4982.19,0.0,120.5686,5.9722,0.7961,0,918.26,695.04,19.4143,0.00790361,0,3995,1941.03,670.59,1175.1,670,9,0,0,5,2,0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2027,/lustre1/g/arch_guo/freeze-and-stress/simulations/CORDEX_CMIP5_REMO2015_rcp85/office/Los_Angeles/2027/eplusout.sql,2026-05-17T15:09:43,10,52560,CORE_BOTTOM,337.83,0.33,1151.83,4982.19,281.73,78258.3333333396,0.0,01-JAN-00:10,0.0,64.92727,12-OCT-13:00,64927.27,1404.55,390152.77777780895,12.34764,13-AUG-17:20,12347.64,161.59231,20-NOV-16:50,161592.31,408.34,113427.77777778685,0.16834,01-JAN-00:10,168.34,94.15547,12-OCT-13:00,94155.47,3,72.7623949020037,31.584991747296662,12.148974429487923,0.1666666666666666,337.8333333333333,0.1666666666666666,354.66666666666663,0.1666666666666666,0.3333333333333333,0.1666666666666666,0.3333333333333333,94.16231590646576,12.952938124641769,0.1683410486422979,26.93205109362258,390152.2656781807,161.59230656173546,44.53792987193844,12.347636247057446,161.59230656173546,44.53792987193844,12.347636247057446,112.12,31144.444444446937,0.0,01-JAN-00:10,0.0,28.39637,10-JUL-11:40,28396.37,2.78,772.2222222222839,0.0,01-JAN-00:10,0.0,48.47089,11-DEC-07:10,48470.89,705.43,195952.77777779344,11.24134,01-JAN-00:10,11241.34,45.8647,02-JAN-08:10,45864.7,240.34,66761.11111111645,0.90764,30-JUL-17:20,907.64,25.00379,02-JAN-17:00,25003.79,33.0,18.623636796042614,5.6,100.0,68.38110730593607,11.0,27.59999084472656,14.690223550531584,2.340169499017459,0.0158637425797563,0.0084294763913692,0.0019033965257058,27.20064156029312,24.921078730277348,23.59372350206762,26.657621283675084,25.45473743227729,24.16396362423738,26.908472780606623,25.18790808127732,23.8788435631525,76.03778806455699,43.02617754236588,9.705614907489956,4.61859792586094,73696.39941145289,27.711587555165643,8.412830983042566,0.0,0.0,0.0,0.0,0.0,0.0,27.20064156029312,24.921078730277348,23.59372350206762,4982.19,0.0,162.4238,6.4334,0.9085,2,572.9,800.5,21.045,0.00918217,0,4330,1897.37,659.21,1129.1,675,7,0,0,8,5,0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2028,/lustre1/g/arch_guo/freeze-and-stress/simulations/CORDEX_CMIP5_REMO2015_rcp85/office/Los_Angeles/2028/eplusout.sql,2026-05-17T15:09:48,10,52560,CORE_BOTTOM,234.0,7.17,950.17,4982.19,241.33,67036.11111111648,0.0,01-JAN-00:10,0.0,64.2089,05-SEP-13:00,64208.9,1354.11,376141.6666666967,12.32756,30-JUL-17:30,12327.56,160.334,05-SEP-15:10,160334.0,359.21,99780.55555556354,0.16834,01-JAN-00:10,168.34,93.4377,05-SEP-14:00,93437.7,3,72.7623949020037,31.543432000291933,12.148854833704862,0.1666666666666666,234.0,0.1666666666666666,253.16666666666663,0.1666666666666666,7.166666666666666,0.1666666666666666,7.166666666666666,93.44455317953056,11.39527210096753,0.1683410486422979,26.722333797549304,376143.04792703287,160.33400278529584,42.93870410125946,12.327561994393715,160.33400278529584,42.93870410125946,12.327561994393715,101.5,28194.4444444467,0.0,01-JAN-00:10,0.0,28.39637,16-JUN-13:50,28396.37,4.69,1302.7777777778822,0.0,01-JAN-00:10,0.0,50.10763,06-FEB-07:10,50107.63,705.43,195952.77777779344,11.24134,01-JAN-00:10,11241.34,45.8647,02-JAN-08:10,45864.7,239.03,66397.22222222753,0.90752,25-JUN-17:20,907.52,25.00379,02-JAN-11:30,25003.79,32.2,17.999914383561645,4.8,100.0,65.15984589041096,8.0,26.59999084472656,13.681531415553126,1.133577026700911,0.0169766130944401,0.007998851538756,0.0012367695565577,27.264387600259973,24.86961833198083,23.554855263528893,27.38643559244396,25.388052773699428,24.121252675969995,27.15855857041424,25.12883555284013,23.83805396974945,75.7690747568672,40.99450542113895,6.4859645573602895,4.767851500277446,72592.43382531537,28.60710900166468,8.286807514305409,0.0,0.0,0.0,0.0,0.0,0.0,27.264387600259973,24.86961833198083,23.554855263528893,4982.19,0.0,133.2374,12.6755,1.1586,4,746.84,746.86,20.2805,0.00831553,0,3816,1972.97,685.58,1242.7,735,10,0,0,8,4,0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2029,/lustre1/g/arch_guo/freeze-and-stress/simulations/CORDEX_CMIP5_REMO2015_rcp85/office/Los_Angeles/2029/eplusout.sql,2026-05-17T15:09:53,10,52560,CORE_BOTTOM,246.17,8.83,894.0,4982.19,221.69,61580.55555556048,0.0,01-JAN-00:10,0.0,64.68912999999999,05-SEP-13:00,64689.13,1333.01,370280.5555555852,12.33706,30-APR-17:30,12337.06,157.53302,05-SEP-07:10,157533.02,338.67,94075.00000000752,0.16834,01-JAN-00:10,168.34,93.91733,05-SEP-13:00,93917.33,3,72.7623949020037,31.52582801076292,12.148922724633085,0.1666666666666666,246.16666666666663,0.1666666666666666,264.8333333333333,0.1666666666666666,8.833333333333332,0.1666666666666666,8.833333333333332,93.92417617465148,10.74364529238973,0.1683410486422979,26.25550308134504,370280.5861356172,157.53301848807024,42.26947330315265,12.337063630225687,157.53301848807024,42.26947330315265,12.337063630225687,99.56,27655.555555557767,0.0,01-JAN-00:10,0.0,28.39637,09-AUG-08:40,28396.37,5.72,1588.888888889016,0.0,01-JAN-00:10,0.0,73.30400999999999,21-FEB-07:10,73304.01,705.43,195952.77777779344,11.24134,01-JAN-00:10,11241.34,45.8647,02-JAN-08:10,45864.7,238.47,66241.66666667197,0.90759,25-JUN-17:20,907.59,25.00379,02-JAN-17:00,25003.79,31.800000000000004,17.599789764079148,3.7,100.0,64.96771308980213,6.0,25.516130304877937,13.26414138129455,0.2139055095925658,0.0153644311992287,0.007817405752429,0.0009839537403185,27.201578478636016,24.857235446118235,22.76292294131464,26.906036452853723,25.359152419199543,23.198886705979373,26.905287662761637,25.10819393265889,22.980904823647005,75.93455075206873,40.09782051588823,5.344127835335936,4.641824207786762,71600.95868361898,27.85094524672057,8.17362542050445,0.0,0.0,0.0,0.0,0.0,0.0,27.201578478636016,24.857235446118235,22.76292294131464,4982.19,0.0,128.644,6.6154,0.9053,3,840.12,693.96,20.0998,0.00807104,0,4207,1957.46,705.46,1139.5,725,8,0,0,9,2,0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2030,/lustre1/g/arch_guo/freeze-and-stress/simulations/CORDEX_CMIP5_REMO2015_rcp85/office/Los_Angeles/2030/eplusout.sql,2026-05-17T15:09:58,10,52560,CORE_BOTTOM,275.83,14.5,1081.17,4982.19,246.37,68436.11111111658,0.0,01-JAN-00:10,0.0,69.48867999999999,28-SEP-14:00,69488.68,1364.42,379005.5555555859,12.34365,16-APR-17:20,12343.65,160.64843,28-SEP-13:00,160648.43,370.09,102802.777777786,0.16834,01-JAN-00:10,168.34,98.71623,28-SEP-14:00,98716.23,3,72.7623949020037,31.52529663395321,12.150142760646002,0.1666666666666666,275.8333333333333,0.1666666666666666,295.0,0.1666666666666666,14.5,0.1666666666666666,14.666666666666666,98.72308117758868,11.74005713018913,0.1683410486422979,26.77473867512641,379004.49897388695,160.6484320507585,43.26535376414235,12.343652899682937,160.6484320507585,43.26535376414235,12.343652899682937,104.8,29111.11111111344,0.0,01-JAN-00:10,0.0,28.39637,17-JUL-12:50,28396.37,7.22,2005.555555555716,0.0,01-JAN-00:10,0.0,84.89326,21-FEB-07:10,84893.26,705.43,195952.77777779344,11.24134,01-JAN-00:10,11241.34,45.8647,02-JAN-08:10,45864.7,238.46,66238.88888889419,0.90881,25-JUN-17:20,908.81,25.00379,02-JAN-10:30,25003.79,32.1,17.81015696347032,1.3,100.0,66.13620624048706,8.0,26.98110043545997,13.552864158309443,-0.8134866768186608,0.0162051437440099,0.0079392922321775,0.0013768934646356,27.18707642046072,24.86279651004022,22.50239360946765,26.9560872497813,25.37619022564133,22.90486393694322,26.895608269460777,25.11949336784077,22.703628773205438,75.55713322050686,40.705704348899744,6.453963668344868,4.617731522609692,72368.31429944334,27.706389135658156,8.26122309354376,0.0,0.0,0.0,0.0,0.0,0.0,27.18707642046072,24.86279651004022,22.50239360946765,4982.19,0.0,153.7987,7.2301,0.8956,4,801.18,731.8,20.0585,0.00831292,0,4318,1991.36,703.26,1180.8,805,7,0,0,10,2,0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2031,/lustre1/g/arch_guo/freeze-and-stress/simulations/CORDEX_CMIP5_REMO2015_rcp85/office/Los_Angeles/2031/eplusout.sql,2026-05-17T15:10:04,10,52560,CORE_BOTTOM,305.67,5.33,1024.0,4982.19,300.6,83500.00000000668,0.0,01-JAN-00:10,0.0,64.23132,21-AUG-11:00,64231.32,1425.48,395966.6666666984,12.32731,04-JUL-17:30,12327.31,159.95665,18-AUG-15:10,159956.65,430.83,119675.00000000958,0.16834,01-JAN-00:10,168.34,93.45922,21-AUG-11:00,93459.22,3,72.7623949020037,31.53568541491519,12.146718909946612,0.1666666666666666,305.66666666666663,0.1666666666666666,327.3333333333333,0.1666666666666666,5.333333333333333,0.1666666666666666,5.333333333333333,93.46607235005948,13.66602027030224,0.1683410486422979,26.65944180261268,395966.9418025047,159.95665081567608,45.20170568521743,12.327311222820716,159.95665081567608,45.20170568521743,12.327311222820716,115.85,32180.555555558127,0.0,01-JAN-00:10,0.0,28.39637,26-MAY-12:50,28396.37,2.68,744.444444444504,0.0,01-JAN-00:10,0.0,49.89834,20-MAR-06:10,49898.34,705.43,195952.77777779344,11.24134,01-JAN-00:10,11241.34,45.8647,02-JAN-08:10,45864.7,238.79,66330.55555556086,0.90538,16-JUL-17:20,905.38,25.00379,02-JAN-17:00,25003.79,33.2,19.169034436834096,5.8,100.0,63.89239916286149,7.0,26.071902833413013,14.598367242655156,0.0050855590983154,0.016656899144443,0.0081913911232924,0.0009607703758331,27.10368159655972,24.926924232275702,23.583474593663976,27.057842595933327,25.483080930001336,24.13856538486578,26.87620809856907,25.205002581138523,23.86101998926488,75.80446762418961,41.83702349530997,4.974688613712736,4.446983011261132,75027.94023709447,26.68189806756679,8.564833360398913,0.0,0.0,0.0,0.0,0.0,0.0,27.10368159655972,24.926924232275702,23.583474593663976,4982.19,0.0,194.0116,8.5507,0.8762,1,516.02,942.7,22.0112,0.00882249,0,3650,1976.86,707.52,1118.9,771,6,0,0,8,2,0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2032,/lustre1/g/arch_guo/freeze-and-stress/simulations/CORDEX_CMIP5_REMO2015_rcp85/office/Los_Angeles/2032/eplusout.sql,2026-05-17T15:10:09,10,52560,CORE_BOTTOM,194.17,19.33,1063.17,4982.19,196.39,54552.77777778214,0.0,01-JAN-00:10,0.0,64.45011,12-SEP-12:10,64450.11,1306.72,362977.7777778068,12.32882,29-MAY-17:20,12328.82,160.43075,13-SEP-13:00,160430.75,309.86,86072.22222222912,0.16834,01-JAN-00:10,168.34,93.67831,12-SEP-12:10,93678.31,3,72.7623949020037,31.605695587956934,12.146718909946612,0.1666666666666666,194.16666666666663,0.1666666666666666,209.5,0.1666666666666666,19.33333333333333,0.1666666666666666,19.33333333333333,93.685159109265,9.83027494316978,0.1683410486422979,26.7384582978326,362979.10185267,160.4307497869956,41.43597053112671,12.328817903601225,160.4307497869956,41.43597053112671,12.328817903601225,92.64,25733.33333333539,0.0,01-JAN-00:10,0.0,28.39637,08-JUN-12:50,28396.37,9.13,2536.111111111314,0.0,01-JAN-00:10,0.0,76.42976,23-JAN-07:10,76429.76,705.43,195952.77777779344,11.24134,01-JAN-00:10,11241.34,45.8647,02-JAN-08:10,45864.7,240.99,66941.66666667203,0.90538,18-JUN-17:20,905.38,25.00379,02-JAN-17:00,25003.79,30.0,16.747641742770167,1.7,100.0,71.24356925418569,14.0,26.99999917820325,13.290597848863444,-1.7871558412069262,0.0164464930385017,0.0083067754696514,0.0018599335617,27.125174840909786,24.826973548725253,23.244304227887792,26.997176967160836,25.29647931784504,23.74077272000234,26.84265541859525,25.061726433285145,23.492538473945068,75.40840278195888,42.66635386969628,9.65059583148246,4.548913349056782,69690.70138589083,27.29348009434069,7.955559518937309,0.0,0.0,0.0,0.0,0.0,0.0,27.125174840909786,24.826973548725253,23.244304227887792,4982.19,0.0,84.3899,7.6529,0.8427,2,985.43,528.37,19.8212,0.00837485,0,4709,1915.77,681.56,1255.4,745,1,0,0,4,1,0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2033,/lustre1/g/arch_guo/freeze-and-stress/simulations/CORDEX_CMIP5_REMO2015_rcp85/office/Los_Angeles/2033/eplusout.sql,2026-05-17T15:10:13,10,52560,CORE_BOTTOM,133.67,12.5,921.17,4982.19,156.78,43550.000000003485,0.0,01-JAN-00:10,0.0,65.77057,26-SEP-12:40,65770.57,1254.43,348452.7777778057,12.32033,16-APR-17:20,12320.33,159.28006,14-SEP-13:00,159280.06,256.22,71172.22222222792,0.16834,01-JAN-00:10,168.34,93.41325,27-SEP-10:10,93413.25,3,72.7623949020037,31.6483264914608,12.150230345825626,0.1666666666666666,133.66666666666666,0.1666666666666666,142.0,0.1666666666666666,12.5,0.1666666666666666,12.5,93.42010389743476,8.129338362511609,0.1683410486422979,26.54667633304516,348452.34412079834,159.28005799827096,39.77766485397241,12.320327991422989,159.28005799827096,39.77766485397241,12.320327991422989,80.52,22366.66666666845,0.0,01-JAN-00:10,0.0,28.39637,14-SEP-12:20,28396.37,7.22,2005.555555555716,0.0,01-JAN-00:10,0.0,55.79356,27-MAR-06:10,55793.56,705.43,195952.77777779344,11.24134,01-JAN-00:10,11241.34,45.8647,02-JAN-08:10,45864.7,242.34,67316.66666667206,0.90889,25-JUN-17:20,908.89,25.00379,02-JAN-17:00,25003.79,29.8,16.147411529680365,3.0,100.0,75.80361491628615,12.0,26.50245258801031,13.280894719881786,1.1365368582254178,0.0152236995430052,0.0085548633895204,0.0017002904221824,27.06034711427511,24.81941607381991,23.469395880454226,26.86219098473189,25.26140216402161,24.020385509708436,26.746011034272456,25.040409118920763,23.74489069508133,73.901298479959,43.89827216117947,8.816082236114621,4.348472694018002,68068.32533384718,26.09083616410801,7.770356773270227,0.0,0.0,0.0,0.0,0.0,0.0,27.06034711427511,24.81941607381991,23.469395880454226,4982.19,0.0,56.0779,6.0094,0.746,1,1008.11,331.89,17.8396,0.00855636,0,5619,1793.28,661.31,1104.0,598,0,0,0,1,0,0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2034,/lustre1/g/arch_guo/freeze-and-stress/simulations/CORDEX_CMIP5_REMO2015_rcp85/office/Los_Angeles/2034/eplusout.sql,2026-05-17T15:10:18,10,52560,CORE_BOTTOM,219.33,6.5,1217.67,4982.19,247.66,68794.44444444995,0.0,01-JAN-00:10,0.0,67.04424,05-JUL-15:20,67044.24,1363.15,378652.7777778081,12.33158,11-JUN-17:30,12331.58,159.26843,18-SEP-12:40,159268.43,365.2,101444.44444445256,0.16834,01-JAN-00:10,168.34,94.15313,05-JUL-13:00,94153.13,3,72.7623949020037,31.640204409585564,12.146718909946616,0.1666666666666666,219.3333333333333,0.1666666666666666,237.16666666666663,0.1666666666666666,6.5,0.1666666666666666,6.5,94.15997734264872,11.584972949064026,0.1683410486422979,26.544738239423808,378652.5536617704,159.26842943654285,43.22517735864959,12.33157995362837,159.26842943654285,43.22517735864959,12.33157995362837,100.1,27805.555555557778,0.0,01-JAN-00:10,0.0,28.39637,08-JUL-09:10,28396.37,5.74,1594.444444444572,0.0,01-JAN-00:10,0.0,53.22216,18-DEC-07:10,53222.16,705.43,195952.77777779344,11.24134,01-JAN-00:10,11241.34,45.8647,02-JAN-08:10,45864.7,242.08,67244.44444444982,0.90538,16-JUL-17:20,905.38,25.00379,02-JAN-08:10,25003.79,31.6,17.50779014459665,4.3,100.0,76.12717846270928,18.0,26.314813298726826,14.6149151293707,2.682577355862516,0.0161239502768547,0.0089935879070543,0.0027051193859931,27.173867961219717,24.848094236829528,23.530982347453488,26.96643653887495,25.332131825033155,24.09351516019394,26.88697689221349,25.09011303093134,23.81452591637168,77.2319352055975,46.04582346643616,14.309328765808926,4.688077020078191,70602.78403988914,28.128462120469145,8.059678543366338,0.0,0.0,0.0,0.0,0.0,0.0,27.173867961219717,24.848094236829528,23.5309823474535,4982.19,0.0,125.0288,6.7411,0.887,2,860.49,680.79,21.6788,0.00953551,0,5381,1815.92,667.3,1181.4,683,7,0,0,7,2,0
