scenario,building,city,year,sql_path,extracted_at,interval_minutes,time_rows,representative_zone,abups_occupied_cooling_not_met_hours,abups_occupied_heating_not_met_hours,abups_time_not_comfortable_simple_ashrae55_hours,conditioned_building_area_m2,cooling_electricity_annual_gj,cooling_electricity_annual_kwh,cooling_electricity_min_kw,cooling_electricity_min_timestamp,cooling_electricity_min_w,cooling_electricity_peak_kw,cooling_electricity_peak_timestamp,cooling_electricity_peak_w,electricity_facility_annual_gj,electricity_facility_annual_kwh,electricity_facility_min_kw,electricity_facility_min_timestamp,electricity_facility_min_w,electricity_facility_peak_kw,electricity_facility_peak_timestamp,electricity_facility_peak_w,electricity_hvac_annual_gj,electricity_hvac_annual_kwh,electricity_hvac_min_kw,electricity_hvac_min_timestamp,electricity_hvac_min_w,electricity_hvac_peak_kw,electricity_hvac_peak_timestamp,electricity_hvac_peak_w,environment_period_index,facility_building_electricity_demand_rate_max_kw,facility_building_electricity_demand_rate_mean_kw,facility_building_electricity_demand_rate_min_kw,facility_cooling_setpoint_not_met_occupied_time_max_timestep_hours,facility_cooling_setpoint_not_met_occupied_time_total_hours,facility_cooling_setpoint_not_met_time_max_timestep_hours,facility_cooling_setpoint_not_met_time_total_hours,facility_heating_setpoint_not_met_occupied_time_max_timestep_hours,facility_heating_setpoint_not_met_occupied_time_total_hours,facility_heating_setpoint_not_met_time_max_timestep_hours,facility_heating_setpoint_not_met_time_total_hours,facility_hvac_electricity_demand_rate_max_kw,facility_hvac_electricity_demand_rate_mean_kw,facility_hvac_electricity_demand_rate_min_kw,facility_purchased_electricity_energy_peak_timestep_kwh,facility_purchased_electricity_energy_total_kwh,facility_purchased_electricity_rate_max_kw,facility_purchased_electricity_rate_mean_kw,facility_purchased_electricity_rate_min_kw,facility_total_electricity_demand_rate_max_kw,facility_total_electricity_demand_rate_mean_kw,facility_total_electricity_demand_rate_min_kw,fans_electricity_annual_gj,fans_electricity_annual_kwh,fans_electricity_min_kw,fans_electricity_min_timestamp,fans_electricity_min_w,fans_electricity_peak_kw,fans_electricity_peak_timestamp,fans_electricity_peak_w,heating_electricity_annual_gj,heating_electricity_annual_kwh,heating_electricity_min_kw,heating_electricity_min_timestamp,heating_electricity_min_w,heating_electricity_peak_kw,heating_electricity_peak_timestamp,heating_electricity_peak_w,interior_equipment_electricity_annual_gj,interior_equipment_electricity_annual_kwh,interior_equipment_electricity_min_kw,interior_equipment_electricity_min_timestamp,interior_equipment_electricity_min_w,interior_equipment_electricity_peak_kw,interior_equipment_electricity_peak_timestamp,interior_equipment_electricity_peak_w,interior_lights_electricity_annual_gj,interior_lights_electricity_annual_kwh,interior_lights_electricity_min_kw,interior_lights_electricity_min_timestamp,interior_lights_electricity_min_w,interior_lights_electricity_peak_kw,interior_lights_electricity_peak_timestamp,interior_lights_electricity_peak_w,outdoor_drybulb_c_max,outdoor_drybulb_c_mean,outdoor_drybulb_c_min,outdoor_rh_pct_max,outdoor_rh_pct_mean,outdoor_rh_pct_min,outdoor_wetbulb_c_max,outdoor_wetbulb_c_mean,outdoor_wetbulb_c_min,rep_zone_humidity_ratio_max,rep_zone_humidity_ratio_mean,rep_zone_humidity_ratio_min,rep_zone_mean_air_temp_c_max,rep_zone_mean_air_temp_c_mean,rep_zone_mean_air_temp_c_min,rep_zone_mean_radiant_temp_c_max,rep_zone_mean_radiant_temp_c_mean,rep_zone_mean_radiant_temp_c_min,rep_zone_operative_temp_c_max,rep_zone_operative_temp_c_mean,rep_zone_operative_temp_c_min,rep_zone_rh_pct_max,rep_zone_rh_pct_mean,rep_zone_rh_pct_min,rep_zone_sensible_cooling_energy_peak_timestep_kwh,rep_zone_sensible_cooling_energy_total_kwh,rep_zone_sensible_cooling_rate_max_kw,rep_zone_sensible_cooling_rate_mean_kw,rep_zone_sensible_cooling_rate_min_kw,rep_zone_sensible_heating_energy_peak_timestep_kwh,rep_zone_sensible_heating_energy_total_kwh,rep_zone_sensible_heating_rate_max_kw,rep_zone_sensible_heating_rate_mean_kw,rep_zone_sensible_heating_rate_min_kw,rep_zone_thermostat_air_temp_c_max,rep_zone_thermostat_air_temp_c_mean,rep_zone_thermostat_air_temp_c_min,total_building_area_m2,unconditioned_building_area_m2,annual_edh_c_h,daily_edh_max_k_h,delta_t_max_k,daily_edh_exceed_6kh_count,hdd_18,cdd_18,summer_mean_drybulb_c,outdoor_humidity_ratio_mean,high_wetbulb_hours,high_rh_hours,annual_ghi_kwh_m2,summer_ghi_kwh_m2,peak_ghi_w_m2,extreme_solar_hours,hot_days_30c,hot_days_35c,heatwave_days,hot_nights,max_consec_hot_days_30c,max_consec_hot_days_35c
CORDEX_CMIP5_RegCM_rcp85,office,Los_Angeles,2025,/lustre1/g/arch_guo/freeze-and-stress/simulations/CORDEX_CMIP5_RegCM_rcp85/office/Los_Angeles/2025/eplusout.sql,2026-05-17T15:11:08,10,52560,CORE_BOTTOM,169.5,18.33,880.67,4982.19,201.95,56097.22222222671,0.0,01-JAN-00:10,0.0,63.38633,30-AUG-09:00,63386.33,1312.8,364666.6666666959,12.32098,09-APR-17:20,12320.98,215.23689,02-JAN-07:10,215236.89,318.26,88405.55555556262,0.16834,01-JAN-00:10,168.34,185.79653,02-JAN-07:10,185796.53,3,72.7623949020037,31.53179271156305,12.146718909946616,0.1666666666666666,169.5,0.1666666666666666,191.3333333333333,0.1666666666666666,18.33333333333333,0.1666666666666666,20.666666666666664,185.80337657405397,10.096689690481307,0.1683410486422979,35.87281447552313,364665.5058419085,215.23688685313877,41.62848240204435,12.320983859107557,215.23688685313877,41.62848240204435,12.320983859107557,93.6,26000.00000000208,0.0,01-JAN-00:10,0.0,28.39637,24-JUL-12:50,28396.37,11.02,3061.111111111356,0.0,01-JAN-00:10,0.0,180.46481,02-JAN-07:10,180464.81,705.43,195952.77777779344,11.24134,01-JAN-00:10,11241.34,45.8647,02-JAN-08:10,45864.7,238.66,66294.44444444975,0.90538,30-JUL-17:20,905.38,25.00379,02-JAN-17:00,25003.79,34.5,17.318960235920855,-0.2,100.0,66.89865867579908,6.0,24.734861132316222,13.26761653046539,-2.112870987282103,0.0142630003742999,0.007997388465487,0.0008415178536623,27.200500115228795,24.787087119018768,17.975957445235352,26.61316878520373,25.270022326878728,17.86435078837746,26.904006797319763,25.02855472294875,17.924433566311087,70.13266959712148,41.15738501632045,4.314623180328033,4.449211488464651,70619.0003809254,26.695268930787904,8.061529723849931,0.0,2.404004157860828,18.46738004481217,14.42402494716497,0.002108148406942,0.0,27.200500115228795,24.787087119018768,17.97595744523536,4982.19,0.0,98.2318,4.7884,0.904,0,901.33,652.86,20.1581,0.00813549,0,4359,1971.49,698.66,1190.6,763,5,0,0,9,5,0
CORDEX_CMIP5_RegCM_rcp85,office,Los_Angeles,2026,/lustre1/g/arch_guo/freeze-and-stress/simulations/CORDEX_CMIP5_RegCM_rcp85/office/Los_Angeles/2026/eplusout.sql,2026-05-17T15:11:12,10,52560,CORE_BOTTOM,201.17,33.17,1139.0,4982.19,195.18,54216.66666667101,0.0,01-JAN-00:10,0.0,66.01541,11-SEP-14:00,66015.41,1308.95,363597.2222222513,12.32507,23-JUL-17:20,12325.07,167.89098,02-JAN-07:10,167890.98,312.01,86669.44444445138,0.16834,01-JAN-00:10,168.34,138.45062,02-JAN-07:10,138450.62,3,72.7623949020037,31.60810985700988,12.146718909946616,0.1666666666666666,201.16666666666663,0.1666666666666666,217.16666666666663,0.1666666666666666,33.166666666666664,0.1666666666666666,34.166666666666664,138.45746554219198,9.898358042684654,0.1683410486422979,27.98182930354614,363596.65880132414,167.89097582127684,41.506467899694535,12.3250657366108,167.89097582127684,41.506467899694535,12.3250657366108,89.26,24794.444444446428,0.0,01-JAN-00:10,0.0,28.39637,29-AUG-12:10,28396.37,15.87,4408.333333333686,0.0,01-JAN-00:10,0.0,134.37595000000002,02-JAN-07:10,134375.95,705.43,195952.77777779344,11.24134,01-JAN-00:10,11241.34,45.8647,02-JAN-08:10,45864.7,241.07,66963.88888889425,0.90538,30-JUL-17:20,905.38,25.00379,02-JAN-17:00,25003.79,31.300000000000004,16.459583333333335,-3.9,100.0,70.8738299086758,12.0,26.298800479292368,13.022845898628695,-4.931845358152005,0.0158254693141987,0.0082217923799588,0.0015329485441796,27.15429994333363,24.7725702598164,20.99013332332495,26.75693831589076,25.223983304181612,21.2190735481688,26.86165842899704,24.998276781999007,21.104603435746878,91.18738098953742,42.28785063557778,7.888113564749097,4.550844471773616,68545.81565052614,27.3050668306417,7.824864800288372,0.0,0.0,0.0,0.0,0.0,0.0,27.15429994333363,24.7725702598164,20.99013332332495,4982.19,0.0,114.8427,5.4039,0.8617,0,1146.45,584.35,18.5269,0.00833836,0,4992,1927.43,683.3,1188.0,716,6,0,0,7,2,0
CORDEX_CMIP5_RegCM_rcp85,office,Los_Angeles,2027,/lustre1/g/arch_guo/freeze-and-stress/simulations/CORDEX_CMIP5_RegCM_rcp85/office/Los_Angeles/2027/eplusout.sql,2026-05-17T15:11:18,10,52560,CORE_BOTTOM,339.33,4.17,1180.5,4982.19,318.34,88427.77777778484,0.0,01-JAN-00:10,0.0,68.10510000000001,27-SEP-13:00,68105.1,1440.47,400130.5555555876,12.33934,21-MAY-17:40,12339.34,164.054,28-SEP-15:10,164054.0,445.02,123616.66666667657,0.16834,01-JAN-00:10,168.34,97.19019,28-SEP-14:00,97190.19,3,72.7623949020037,31.561109611990865,12.151477387044665,0.1666666666666666,339.3333333333333,0.1666666666666666,363.0,0.1666666666666666,4.166666666666666,0.1666666666666666,4.166666666666666,97.19703888591738,14.11600681880804,0.1683410486422979,27.342333932214668,400131.5399337984,164.054003593288,45.67711643079891,12.339338202959794,164.054003593288,45.67711643079891,12.339338202959794,112.08,31133.333333335824,0.0,01-JAN-00:10,0.0,28.39637,05-JUN-12:50,28396.37,2.9,805.55555555562,0.0,01-JAN-00:10,0.0,32.30046,14-DEC-07:10,32300.46,705.43,195952.77777779344,11.24134,01-JAN-00:10,11241.34,45.8647,02-JAN-08:10,45864.7,239.59,66552.7777777831,0.91014,09-APR-17:20,910.14,25.00379,02-JAN-17:00,25003.79,34.7,19.37587709284627,4.5,100.0,68.95533675799086,10.0,28.32886352509579,15.419054051844652,-0.501112636770971,0.016045169762333,0.0086532866228503,0.0019360131764751,27.15694129787739,24.908661516218825,23.682257629540405,26.58969494617932,25.469896800072984,24.334517828954223,26.86798464902169,25.189279158145904,24.03328569315785,74.41037109022426,44.19905050688004,10.173104604871147,4.593193683933874,75192.32194924135,27.55916210360325,8.583598396032118,0.0,0.0,0.0,0.0,0.0,0.0,27.15694129787739,24.908661516218825,23.682257629540405,4982.19,0.0,180.7322,6.8637,0.868,1,524.79,1027.12,21.9772,0.00971367,9,4663,1936.26,659.84,1122.6,679,28,0,0,29,7,0
CORDEX_CMIP5_RegCM_rcp85,office,Los_Angeles,2028,/lustre1/g/arch_guo/freeze-and-stress/simulations/CORDEX_CMIP5_RegCM_rcp85/office/Los_Angeles/2028/eplusout.sql,2026-05-17T15:11:22,10,52560,CORE_BOTTOM,260.5,4.83,862.83,4982.19,248.16,68933.33333333884,0.0,01-JAN-00:10,0.0,69.94278,30-AUG-14:10,69942.78,1360.79,377997.22222225246,12.33045,11-JUN-17:30,12330.45,158.59102,28-SEP-15:30,158591.02,367.07,101963.88888889704,0.16834,01-JAN-00:10,168.34,95.89529,28-SEP-14:00,95895.29,3,72.7623949020037,31.506007154090856,12.15006332281264,0.1666666666666666,260.5,0.1666666666666666,280.16666666666663,0.1666666666666666,4.833333333333333,0.1666666666666666,4.833333333333333,95.90214126866417,11.64451758887067,0.1683410486422979,26.43183635640277,377998.59674834297,158.59101813841662,43.15052474296153,12.33045392340345,158.59101813841662,43.15052474296153,12.33045392340345,103.54,28761.11111111341,0.0,01-JAN-00:10,0.0,28.39637,26-JUL-12:50,28396.37,3.69,1025.000000000082,0.0,01-JAN-00:10,0.0,37.71651,21-FEB-07:10,37716.51,705.43,195952.77777779344,11.24134,01-JAN-00:10,11241.34,45.8647,02-JAN-08:10,45864.7,237.85,66069.44444444973,0.90873,23-JUL-17:20,908.73,25.00379,02-JAN-17:00,25003.79,34.8,18.3978852739726,4.1,100.0,64.32926179604262,8.0,29.39999389648437,13.841165253021142,-1.116733465953577,0.0146616881239178,0.0080481013270894,0.0014495767634905,27.205852083904645,24.889822350227877,23.571490650889626,26.64663421938143,25.428649998144817,24.13342585291126,26.91914460467621,25.159236174186344,23.85245825190044,73.72703595047231,41.218229652771264,7.178766919443055,4.632690585647542,73867.18326495565,27.79614351388525,8.432326856730095,0.0,0.0,0.0,0.0,0.0,0.0,27.205852083904645,24.889822350227877,23.571490650889626,4982.19,0.0,136.2516,8.6712,0.9191,1,680.1,825.42,19.4648,0.00827753,8,4153,2030.06,709.87,1340.1,817,16,0,0,14,7,0
CORDEX_CMIP5_RegCM_rcp85,office,Los_Angeles,2029,/lustre1/g/arch_guo/freeze-and-stress/simulations/CORDEX_CMIP5_RegCM_rcp85/office/Los_Angeles/2029/eplusout.sql,2026-05-17T15:11:27,10,52560,CORE_BOTTOM,235.0,10.5,949.5,4982.19,221.3,61472.222222227145,0.0,01-JAN-00:10,0.0,64.22032,20-SEP-12:50,64220.32,1330.94,369705.55555558513,12.32325,11-JUN-17:20,12323.25,160.16319,29-AUG-13:00,160163.19,333.7,92694.44444445186,0.16834,01-JAN-00:10,168.34,93.44852,20-SEP-12:50,93448.52,3,72.7623949020037,31.617520757785105,12.146718909946612,0.1666666666666666,235.0,0.1666666666666666,252.66666666666663,0.1666666666666666,10.5,0.1666666666666666,10.5,93.45537011147746,10.58616479823589,0.1683410486422979,26.693864404516614,369704.2854707439,160.16318642709967,42.20368555602099,12.323246251757292,160.16318642709967,42.20368555602099,12.323246251757292,95.48,26522.222222224344,0.0,01-JAN-00:10,0.0,28.39637,21-AUG-13:50,28396.37,5.22,1450.000000000116,0.0,01-JAN-00:10,0.0,46.48858,06-NOV-07:10,46488.58,705.43,195952.77777779344,11.24134,01-JAN-00:10,11241.34,45.8647,02-JAN-08:10,45864.7,241.37,67047.22222222759,0.90538,30-JUL-17:20,905.38,25.00379,02-JAN-08:10,25003.79,31.800000000000004,17.27795281582953,4.2,100.0,73.09847792998478,7.0,26.178674381501256,14.064449206714336,-0.4509031057359974,0.0163847326802671,0.0086211107338648,0.0010278896005145,27.186750251811585,24.859345233539244,23.51172999249266,26.679909289889423,25.35265962512947,24.080390306333875,26.89507974974834,25.10600242933436,23.796060149413268,75.22542849595489,44.16178187785117,5.298184447569285,4.56029520112194,71045.35909295012,27.361771206731643,8.110200809697501,0.0,0.0,0.0,0.0,0.0,0.0,27.186750251811585,24.85934523353925,23.51172999249266,4982.19,0.0,138.5368,12.165,0.8951,2,899.51,635.85,19.7076,0.00903478,0,5249,1899.52,688.1,1212.0,674,8,0,0,9,4,0
CORDEX_CMIP5_RegCM_rcp85,office,Los_Angeles,2030,/lustre1/g/arch_guo/freeze-and-stress/simulations/CORDEX_CMIP5_RegCM_rcp85/office/Los_Angeles/2030/eplusout.sql,2026-05-17T15:11:31,10,52560,CORE_BOTTOM,232.17,10.83,938.33,4982.19,239.79,66608.33333333865,0.0,01-JAN-00:10,0.0,63.13892,01-SEP-09:30,63138.92,1352.43,375675.0000000301,12.32956,16-JUL-17:30,12329.56,155.42638,02-OCT-14:00,155426.38,358.57,99602.77777778574,0.16834,01-JAN-00:10,168.34,92.36647,01-SEP-09:30,92366.47,3,72.7623949020037,31.51047383885924,12.146718909946616,0.1666666666666666,232.16666666666663,0.1666666666666666,255.8333333333333,0.1666666666666666,10.833333333333332,0.1666666666666666,10.833333333333332,92.37332054148644,11.374879849422989,0.1683410486422979,25.90439676330902,375675.6983093523,155.42638057985414,42.88535368828223,12.329556099079616,155.42638057985414,42.88535368828223,12.329556099079616,100.84,28011.111111113358,0.0,01-JAN-00:10,0.0,28.39637,01-JUN-12:20,28396.37,6.25,1736.11111111125,0.0,01-JAN-00:10,0.0,71.37792,13-FEB-07:10,71377.92,705.43,195952.77777779344,11.24134,01-JAN-00:10,11241.34,45.8647,02-JAN-08:10,45864.7,237.99,66108.33333333863,0.90538,30-JUL-17:20,905.38,25.00379,02-JAN-17:00,25003.79,32.3,17.919440639269407,0.1,100.0,67.48520738203958,7.0,23.877105078809876,13.815541516992493,-0.5360297216202075,0.0132994062242057,0.008177598069919,0.0013399533162827,27.20520494744408,24.859764287688456,23.202247228393468,26.62893183287615,25.38457978728724,23.719562758338803,26.912632209054685,25.122172037487847,23.460904993366132,67.18028142138945,41.93403942022909,7.015808755637534,4.70152091297579,72947.61415345225,28.209125477854737,8.327353213864411,0.0,0.0,0.0,0.0,0.0,0.0,27.20520494744408,24.859764287688456,23.202247228393468,4982.19,0.0,136.6538,6.7905,0.9126,2,776.8,747.32,19.1518,0.00844831,0,4606,2037.27,711.3,1261.9,838,11,0,0,10,4,0
CORDEX_CMIP5_RegCM_rcp85,office,Los_Angeles,2031,/lustre1/g/arch_guo/freeze-and-stress/simulations/CORDEX_CMIP5_RegCM_rcp85/office/Los_Angeles/2031/eplusout.sql,2026-05-17T15:11:35,10,52560,CORE_BOTTOM,315.33,17.5,1306.5,4982.19,291.5,80972.2222222287,0.0,01-JAN-00:10,0.0,68.96303,06-JUL-15:20,68963.03,1410.65,391847.2222222536,12.320799999999998,09-APR-17:30,12320.8,160.94065,07-JUL-12:50,160940.65,415.55,115430.5555555648,0.16834,01-JAN-00:10,168.34,96.07455,06-JUL-15:10,96074.55,3,72.7623949020037,31.549578159593946,12.148813566107602,0.1666666666666666,315.3333333333333,0.1666666666666666,334.0,0.1666666666666666,17.5,0.1666666666666666,17.5,96.08139692874384,13.18180753600171,0.1683410486422979,26.823441297043598,391846.9386934179,160.94064778226158,44.731385695595655,12.320796272217644,160.94064778226158,44.731385695595655,12.320796272217644,106.02,29450.000000002357,0.0,01-JAN-00:10,0.0,28.39637,03-JUL-08:50,28396.37,6.34,1761.1111111112518,0.0,01-JAN-00:10,0.0,90.21632,02-JAN-07:10,90216.32,705.43,195952.77777779344,11.24134,01-JAN-00:10,11241.34,45.8647,02-JAN-08:10,45864.7,239.22,66450.00000000531,0.90748,30-JUL-17:20,907.48,25.00379,02-JAN-17:00,25003.79,32.2,18.553490296803652,2.7,100.0,68.39517694063927,10.0,26.699994438725454,14.621213166058793,-0.5550831913653491,0.016560730202516,0.0084750828601846,0.0018980112150188,27.179131091395007,24.880366816871508,22.66789493966988,26.659550097279432,25.40689872979933,23.09245770129845,26.88824161898252,25.14363277333542,22.880176320484168,75.1874375561321,43.35251304061661,9.49378681601882,4.582302654515436,73168.80805170686,27.49381592709261,8.352603658870647,0.0,0.0,0.0,0.0,0.0,0.0,27.179131091395007,24.880366816871508,22.66789493966988,4982.19,0.0,195.6259,8.1775,0.8882,2,695.05,897.21,20.4343,0.00918468,0,4580,1942.91,694.3,1207.9,703,12,0,0,11,4,0
CORDEX_CMIP5_RegCM_rcp85,office,Los_Angeles,2032,/lustre1/g/arch_guo/freeze-and-stress/simulations/CORDEX_CMIP5_RegCM_rcp85/office/Los_Angeles/2032/eplusout.sql,2026-05-17T15:11:39,10,52560,CORE_BOTTOM,158.33,17.17,1038.83,4982.19,211.52,58755.555555560255,0.0,01-JAN-00:10,0.0,63.51509,08-SEP-13:00,63515.09,1320.56,366822.2222222515,12.32841,21-MAY-17:30,12328.41,160.16319,08-SEP-13:00,160163.19,325.47,90408.33333334058,0.16834,01-JAN-00:10,168.34,111.60221,23-JAN-07:10,111602.21,3,72.7623949020037,31.54927045529283,12.148796888011296,0.1666666666666666,158.33333333333331,0.1666666666666666,174.83333333333331,0.1666666666666666,17.166666666666664,0.1666666666666666,17.5,111.6090589514434,10.32526335642289,0.1683410486422979,26.693864404516614,366820.91619062977,160.16318642709967,41.87453381171572,12.328406148797155,160.16318642709967,41.87453381171572,12.328406148797155,92.65,25736.11111111317,0.0,01-JAN-00:10,0.0,28.39637,08-AUG-13:10,28396.37,9.6,2666.66666666688,0.0,01-JAN-00:10,0.0,108.17204,23-JAN-07:10,108172.04,705.43,195952.77777779344,11.24134,01-JAN-00:10,11241.34,45.8647,02-JAN-08:10,45864.7,239.21,66447.22222222754,0.90746,30-JUL-17:20,907.46,25.00379,02-JAN-17:00,25003.79,30.0,17.000537480974124,-2.0,100.0,71.47628424657535,15.0,24.278246460339528,13.706289747541348,-2.937988647942826,0.0144562758247417,0.0083825953911608,0.0026313132405555,26.813424313472783,24.843139215961017,22.92783683614816,26.431488451947324,25.331087989610783,23.44030703155553,26.518883404267008,25.087113602785895,23.194855682626766,71.72553241390524,42.99047189353953,13.1405100760696,4.22135382839986,70929.66319975024,25.328122970399164,8.096993515953224,0.0,0.0,0.0,0.0,0.0,0.0,26.813424313472783,24.843139215961017,22.92783683614816,4982.19,0.0,58.7608,2.6316,0.5189,0,880.51,515.67,19.9532,0.008774,0,4839,1986.18,707.4,1279.0,837,1,0,0,1,1,0
CORDEX_CMIP5_RegCM_rcp85,office,Los_Angeles,2033,/lustre1/g/arch_guo/freeze-and-stress/simulations/CORDEX_CMIP5_RegCM_rcp85/office/Los_Angeles/2033/eplusout.sql,2026-05-17T15:11:43,10,52560,CORE_BOTTOM,162.67,2.0,796.83,4982.19,195.34,54261.11111111545,0.0,01-JAN-00:10,0.0,63.26093,15-SEP-13:00,63260.93,1297.63,360452.7777778066,12.319,14-MAY-17:20,12319.0,155.85101999999998,31-OCT-14:30,155851.02,299.68,83244.4444444511,0.16834,01-JAN-00:10,168.34,92.48913,15-SEP-13:00,92489.13,3,72.7623949020037,31.639894087892007,12.150381449346945,0.1666666666666666,162.66666666666666,0.1666666666666666,174.0,0.1666666666666666,2.0,0.1666666666666666,2.0,92.49598446123358,9.507595096432295,0.1683410486422979,25.97517080048678,360452.0052546809,155.85102480292068,41.14748918432431,12.318995527431683,155.85102480292068,41.14748918432431,12.318995527431683,89.37,24825.000000001983,0.0,01-JAN-00:10,0.0,28.39637,15-SEP-10:10,28396.37,3.27,908.333333333406,0.0,01-JAN-00:10,0.0,29.11374,03-JAN-07:10,29113.74,705.43,195952.77777779344,11.24134,01-JAN-00:10,11241.34,45.8647,02-JAN-08:10,45864.7,242.07,67241.66666667204,0.90904,14-MAY-17:20,909.04,25.00379,02-JAN-17:00,25003.79,31.500000000000004,17.40162290715373,5.0,100.0,73.96281392694064,12.0,24.89999389648437,14.198750674555953,-0.93449245756139,0.0151968458991135,0.0087891773954915,0.0019571449624492,26.97506025366431,24.872672150716507,23.66622486041173,26.41045136547228,25.367506922167124,24.35099263494492,26.687592396323296,25.120089536441817,24.015156686375512,73.59252846077095,44.98848895307911,10.121931553941366,4.405153023956135,71258.37208419944,26.43091814373681,8.13451736120998,0.0,0.0,0.0,0.0,0.0,0.0,26.97506025366431,24.872672150716507,23.66622486041173,4982.19,0.0,73.7677,4.9699,0.6876,0,736.76,518.34,18.8545,0.00896974,0,5398,1865.55,690.11,1174.9,658,3,0,0,4,2,0
CORDEX_CMIP5_RegCM_rcp85,office,Los_Angeles,2034,/lustre1/g/arch_guo/freeze-and-stress/simulations/CORDEX_CMIP5_RegCM_rcp85/office/Los_Angeles/2034/eplusout.sql,2026-05-17T15:11:47,10,52560,CORE_BOTTOM,358.67,3.83,1430.5,4982.19,304.83,84675.00000000677,0.0,01-JAN-00:10,0.0,64.86285,29-SEP-13:00,64862.85,1429.12,396977.7777778095,12.32943,11-JUN-17:20,12329.43,160.64016,06-JUL-13:00,160640.16,429.48,119300.00000000956,0.16834,01-JAN-00:10,168.34,94.09105,29-SEP-13:00,94091.05,3,72.7623949020037,31.69376523669426,12.148975413414108,0.1666666666666666,358.66666666666663,0.1666666666666666,380.8333333333333,0.1666666666666666,3.833333333333333,0.1666666666666666,3.833333333333333,94.09790401330557,13.623329336471931,0.1683410486422979,26.7733596987488,396977.7484609359,160.64015819249278,45.317094573166194,12.329433039415276,160.64015819249278,45.317094573166194,12.329433039415276,109.55,30430.55555555799,0.0,01-JAN-00:10,0.0,28.39637,30-SEP-12:10,28396.37,3.39,941.666666666742,0.0,01-JAN-00:10,0.0,46.50844,17-JAN-07:10,46508.44,705.43,195952.77777779344,11.24134,01-JAN-00:10,11241.34,45.8647,02-JAN-08:10,45864.7,243.77,67713.8888888943,0.90764,30-JUL-17:20,907.64,25.00379,02-JAN-08:10,25003.79,31.8,18.376007420091327,5.7,100.0,80.05820015220701,19.0,26.871128308467497,15.948058758981045,4.215418049412146,0.0164652671025195,0.0095422214697427,0.0040882086371903,27.21981421285848,24.89721585986257,23.709785172886463,27.280469952038217,25.41697654350588,24.323394040047067,27.033825749596883,25.157096201684222,24.029168452823846,74.62418396161861,48.70758086231727,19.890065093299803,4.710969062245152,72711.45695869955,28.26581437347091,8.300394629988533,0.0,0.0,0.0,0.0,0.0,0.0,27.21981421285848,24.89721585986257,23.709785172886463,4982.19,0.0,178.3651,11.9537,1.0338,3,653.92,791.12,21.2365,0.01064781,0,6418,1825.96,664.02,1324.7,612,6,0,0,9,2,0
