scenario,building,city,climate_type,decade,score_family,year_start,year_end,n_years,family_score_mean,family_score_sd,max_breached_component_count,component_metrics,interpretation_note,decade_midpoint,decade_order
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2025-2034,habitability,2025,2034,10,3.608224830031759e-17,0.8665864704051319,1,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k; peak_operative_temperature_c,,2029.5,0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2025-2034,operational_adequacy,2025,2034,10,-3.080868893334809e-16,0.4609976009373795,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_peak_demand_kw; heating_unmet_hours,,2029.5,0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2035-2044,habitability,2035,2044,10,0.3556208806798513,1.2565626082915968,1,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k; peak_operative_temperature_c,,2039.5,1
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2035-2044,operational_adequacy,2035,2044,10,0.1537620706780554,0.4846508287676911,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_peak_demand_kw; heating_unmet_hours,,2039.5,1
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2045-2054,habitability,2045,2054,10,0.4031639269749341,1.0712168546833092,1,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k; peak_operative_temperature_c,,2049.5,2
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2045-2054,operational_adequacy,2045,2054,10,0.0331199789367739,0.6840226428868884,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_peak_demand_kw; heating_unmet_hours,,2049.5,2
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2055-2064,habitability,2055,2064,10,2.2656273639825018,1.4078514259511226,1,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k; peak_operative_temperature_c,,2059.5,3
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2055-2064,operational_adequacy,2055,2064,10,0.5489450223631573,0.5825076772022131,1,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_peak_demand_kw; heating_unmet_hours,,2059.5,3
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2065-2074,habitability,2065,2074,10,1.634657459087735,1.575533012416806,2,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k; peak_operative_temperature_c,,2069.5,4
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2065-2074,operational_adequacy,2065,2074,10,0.655218745638443,0.5122965818540525,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_peak_demand_kw; heating_unmet_hours,,2069.5,4
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2075-2084,habitability,2075,2084,10,2.640876503556729,2.0874593235629093,2,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k; peak_operative_temperature_c,,2079.5,5
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2075-2084,operational_adequacy,2075,2084,10,0.9847690628265842,0.4916213973903066,1,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_peak_demand_kw; heating_unmet_hours,,2079.5,5
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2085-2094,habitability,2085,2094,10,2.9739586357561167,1.486136774663845,2,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k; peak_operative_temperature_c,,2089.5,6
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2085-2094,operational_adequacy,2085,2094,10,1.5230364075119074,0.5332482284367748,1,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_peak_demand_kw; heating_unmet_hours,,2089.5,6
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2095-2100,habitability,2095,2100,6,3.0992897034188176,2.1263716633391376,2,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k; peak_operative_temperature_c,,2097.5,7
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2095-2100,operational_adequacy,2095,2100,6,1.725202499812432,0.8373817679641068,1,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_peak_demand_kw; heating_unmet_hours,,2097.5,7
CORDEX_CMIP5_REMO2015_rcp85,office,Miami,Am,2025-2034,habitability,2025,2034,10,1.554312234475219e-16,0.6256992876414749,1,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k; peak_operative_temperature_c,,2029.5,0
CORDEX_CMIP5_REMO2015_rcp85,office,Miami,Am,2025-2034,operational_adequacy,2025,2034,10,-0.2189139194723803,1.054865204470558,1,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_peak_demand_kw; heating_unmet_hours,,2029.5,0
CORDEX_CMIP5_REMO2015_rcp85,office,Miami,Am,2035-2044,habitability,2035,2044,10,0.0929511398280477,0.5935678293407983,1,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k; peak_operative_temperature_c,,2039.5,1
CORDEX_CMIP5_REMO2015_rcp85,office,Miami,Am,2035-2044,operational_adequacy,2035,2044,10,0.1722811689387859,0.5866635627961055,1,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_peak_demand_kw; heating_unmet_hours,,2039.5,1
CORDEX_CMIP5_REMO2015_rcp85,office,Miami,Am,2045-2054,habitability,2045,2054,10,0.1934076450979578,0.7355573257172033,1,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k; peak_operative_temperature_c,,2049.5,2
CORDEX_CMIP5_REMO2015_rcp85,office,Miami,Am,2045-2054,operational_adequacy,2045,2054,10,0.5515286513191964,0.6030568834140884,1,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_peak_demand_kw; heating_unmet_hours,,2049.5,2
CORDEX_CMIP5_REMO2015_rcp85,office,Miami,Am,2055-2064,habitability,2055,2064,10,-0.1457533379368867,0.5526483418974677,1,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k; peak_operative_temperature_c,,2059.5,3
CORDEX_CMIP5_REMO2015_rcp85,office,Miami,Am,2055-2064,operational_adequacy,2055,2064,10,1.152476479904113,0.6056220226409657,1,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_peak_demand_kw; heating_unmet_hours,,2059.5,3
CORDEX_CMIP5_REMO2015_rcp85,office,Miami,Am,2065-2074,habitability,2065,2074,10,-0.146068609763397,1.106275501670024,1,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k; peak_operative_temperature_c,,2069.5,4
CORDEX_CMIP5_REMO2015_rcp85,office,Miami,Am,2065-2074,operational_adequacy,2065,2074,10,1.0528020387449453,0.5218401429738112,1,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_peak_demand_kw; heating_unmet_hours,,2069.5,4
CORDEX_CMIP5_REMO2015_rcp85,office,Miami,Am,2075-2084,habitability,2075,2084,10,0.1183519640602237,0.7871876111662964,1,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k; peak_operative_temperature_c,,2079.5,5
CORDEX_CMIP5_REMO2015_rcp85,office,Miami,Am,2075-2084,operational_adequacy,2075,2084,10,1.4956712894466195,0.3490228671228537,1,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_peak_demand_kw; heating_unmet_hours,,2079.5,5
CORDEX_CMIP5_REMO2015_rcp85,office,Miami,Am,2085-2094,habitability,2085,2094,10,-0.3545026164633891,0.8776788001844311,1,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k; peak_operative_temperature_c,,2089.5,6
CORDEX_CMIP5_REMO2015_rcp85,office,Miami,Am,2085-2094,operational_adequacy,2085,2094,10,1.9313161317359648,0.4960293357141505,1,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_peak_demand_kw; heating_unmet_hours,,2089.5,6
CORDEX_CMIP5_REMO2015_rcp85,office,Miami,Am,2095-2100,habitability,2095,2100,6,0.366588254957611,0.5695920186801657,1,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k; peak_operative_temperature_c,,2097.5,7
CORDEX_CMIP5_REMO2015_rcp85,office,Miami,Am,2095-2100,operational_adequacy,2095,2100,6,2.121390156682601,0.3372706445260662,1,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_peak_demand_kw; heating_unmet_hours,,2097.5,7
