city,metric,slope_per_year,normalized_slope,r2,p_value,mean,std,abs_norm_slope
Phoenix,outdoor_wetbulb_c_min,0.0538615,0.332241,0.349225,1.91055e-08,-0.162115,1.99945,0.332241
Los_Angeles,rep_zone_sensible_heating_rate_mean_kw,-2.16906e-06,-0.0723677,0.047788,0.0578038,2.99728e-05,0.000217669,0.0723677
Los_Angeles,rep_zone_sensible_heating_energy_total_kwh,-0.019001,-0.0723677,0.047788,0.0578038,0.262561,1.90678,0.0723677
Los_Angeles,outdoor_wetbulb_c_min,0.0542099,0.0679345,0.236686,8.35514e-06,0.797972,2.44443,0.0679345
Los_Angeles,rep_zone_sensible_heating_rate_max_kw,-0.0186266,-0.0666564,0.0535653,0.0442595,0.279443,1.76554,0.0666564
Los_Angeles,rep_zone_sensible_heating_energy_peak_timestep_kwh,-0.00310444,-0.0666564,0.0535653,0.0442595,0.0465738,0.294257,0.0666564
Vancouver,annual_edh_c_h,0.00988242,0.0460586,0.0997856,0.00543971,0.214562,0.686301,0.0460586
Vancouver,daily_edh_max_k_h,0.00421311,0.0428236,0.125588,0.00168455,0.0983829,0.260804,0.0428236
Vancouver,delta_t_max_k,0.00130736,0.0420674,0.151669,0.000506649,0.0310776,0.0736428,0.0420674
Phoenix,rep_zone_sensible_heating_rate_mean_kw,-3.25752e-05,-0.0350641,0.131892,0.00126229,0.000929019,0.00196772,0.0350641
Phoenix,rep_zone_sensible_heating_energy_total_kwh,-0.285359,-0.0350641,0.131892,0.00126229,8.1382,17.2372,0.0350641
Phoenix,facility_heating_setpoint_not_met_time_total_hours,-0.305523,-0.0337824,0.428833,1.38881e-10,9.04386,10.2349,0.0337824
Phoenix,abups_occupied_heating_not_met_hours,-0.29843,-0.0336184,0.422145,2.15233e-10,8.87697,10.0762,0.0336184
Phoenix,facility_heating_setpoint_not_met_occupied_time_total_hours,-0.298437,-0.0336184,0.42213,2.15447e-10,8.87719,10.0766,0.0336184
Los_Angeles,facility_heating_setpoint_not_met_time_total_hours,-0.167904,-0.0303947,0.476097,5.41034e-12,5.52412,5.33824,0.0303947
Phoenix,rep_zone_sensible_heating_energy_peak_timestep_kwh,-0.0240932,-0.0302301,0.204826,4.04882e-05,0.796994,1.16785,0.0302301
Phoenix,rep_zone_sensible_heating_rate_max_kw,-0.144559,-0.0302301,0.204826,4.04882e-05,4.78196,7.00709,0.0302301
Los_Angeles,facility_heating_setpoint_not_met_occupied_time_total_hours,-0.163723,-0.0300312,0.467713,9.81685e-12,5.45175,5.25176,0.0300312
Los_Angeles,abups_occupied_heating_not_met_hours,-0.163703,-0.0300271,0.467647,9.86275e-12,5.45184,5.2515,0.0300271
Phoenix,abups_occupied_cooling_not_met_hours,2.21505,0.0226756,0.761528,9.73748e-25,97.6843,55.6835,0.0226756
Phoenix,facility_cooling_setpoint_not_met_occupied_time_total_hours,2.21505,0.0226756,0.761528,9.73645e-25,97.6842,55.6833,0.0226756
Phoenix,heating_electricity_annual_gj,-0.391109,-0.0213212,0.61391,5.96695e-17,18.3437,10.9504,0.0213212
Phoenix,heating_electricity_annual_kwh,-108.641,-0.0213212,0.61391,5.96695e-17,5095.47,3041.79,0.0213212
Los_Angeles,heating_electricity_annual_kwh,-20.3383,-0.0198862,0.585442,8.48842e-16,1022.73,583.12,0.0198862
Los_Angeles,heating_electricity_annual_gj,-0.0732178,-0.0198862,0.585442,8.48842e-16,3.68184,2.09923,0.0198862
Phoenix,facility_cooling_setpoint_not_met_time_total_hours,4.71225,0.0184952,0.732541,6.91653e-23,254.783,120.781,0.0184952
