climate_type,city,role,family,subfamily,metric,label,block_decomposition_n,block_decomposition_r2,block_beta2_share_thermal_shift,block_beta2_share_demand_background,block_beta2_share_humid_heat_stress,block_beta2_share_solar_burden,block_beta2_share_persistence_heatwave,block_dominant,block_dominant_share
Am,Miami,response,building_responses,habitability,maximum_delta_t_k,Maximum delta_t,76,0.1414850893203049,0.022175595688679984,0.47148902643554347,0.14940513344774478,5.594521956258745e-05,0.35687429920846925,demand_background,0.47148902643554347
Am,Miami,response,building_responses,habitability,annual_edh_c_h,Annual EDH,76,0.8276660945813623,0.8371982897123079,0.1486494260807795,0.0005376001151561588,0.0032061315722770618,0.010408552519479426,thermal_shift,0.8371982897123079
Am,Miami,response,building_responses,habitability,maximum_daily_edh_k_h,Maximum daily EDH,76,0.047651425265502034,0.16742409129068417,0.14610023267730027,0.5212124378669766,0.0301215572022786,0.13514168096276027,humid_heat_stress,0.5212124378669766
Am,Miami,response,building_responses,habitability,daily_edh_exceedance_days,Daily EDH exceedance days,76,0.07858079794468154,0.5601665051068947,0.04690162669127777,0.21786258787504512,0.16773400075708728,0.0073352795696950525,thermal_shift,0.5601665051068947
Am,Miami,response,building_responses,operational_adequacy,cooling_setpoint_not_met_occupied_hours,Cooling setpoint not met occupied hours,76,0.9867559683446896,0.8489229885691562,0.13084998306708343,0.011685828129061755,0.008331507675787404,0.0002096925589110464,thermal_shift,0.8489229885691562
Am,Miami,response,building_responses,operational_adequacy,heating_unmet_hours,Heating unmet hours,75,0.7665705121667719,0.008920931885509617,0.9909274103460377,5.4866035201124845e-05,2.1139823946228283e-06,9.467775085686166e-05,demand_background,0.9909274103460377
Am,Miami,response,building_responses,operational_adequacy,cooling_peak_demand_kw,Cooling peak demand,75,0.8979339887288132,0.4357827289495774,0.0038457500631996844,0.5511965993520612,0.005259120211861225,0.003915801423300313,humid_heat_stress,0.5511965993520612
Am,Miami,response,building_responses,energy_burden,annual_cooling_electricity_kwh,Annual cooling electricity,75,0.9948956425070713,0.4767734888636886,0.5109062594024656,0.010688214381451799,0.000385575667994761,0.0012464616843992616,demand_background,0.5109062594024656
BWh,Phoenix,response,building_responses,habitability,maximum_delta_t_k,Maximum delta_t,76,0.059559074779442445,0.1738481973757755,0.7328262353642114,0.026014888106731113,0.0,0.06731067915328191,demand_background,0.7328262353642114
BWh,Phoenix,response,building_responses,habitability,annual_edh_c_h,Annual EDH,76,0.6843989256870266,0.7556884680145247,0.020148300886759198,0.004696583588707268,0.0,0.21946664751000877,thermal_shift,0.7556884680145247
