scenario,building,city,climate_type,year,decade,score_family,family_score,component_count,component_metrics,breached_component_count,breached_component_metrics,interpretation_note
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2025,2025-2034,energy_burden_secondary,-0.808215289111133,1,annual_cooling_electricity_kwh,0,,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2025,2025-2034,habitability,-0.3777949017970661,4,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,0,,
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2025,2025-2034,operational_adequacy,-0.21360308688414106,3,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,0,,
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2026,2025-2034,energy_burden_secondary,-0.5977969743559274,1,annual_cooling_electricity_kwh,0,,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2026,2025-2034,habitability,-0.8769981068617844,4,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,0,,
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2026,2025-2034,operational_adequacy,-0.4172018240243851,3,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,0,,
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2027,2025-2034,energy_burden_secondary,1.2706982224888004,1,annual_cooling_electricity_kwh,0,,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2027,2025-2034,habitability,0.1404786385259003,4,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,0,,
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2027,2025-2034,operational_adequacy,-0.035756250172355494,3,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,0,,
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2028,2025-2034,energy_burden_secondary,0.2905279202688224,1,annual_cooling_electricity_kwh,0,,"Secondary overlay, not main resilience family"
