scenario,building,city,climate_type,decade,score_family,year_start,year_end,n_years,family_score_mean,family_score_sd,max_breached_component_count,component_metrics,interpretation_note
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2025-2034,energy_burden_secondary,2025,2034,10,2.331468351712829e-16,1.0540925533894596,0,annual_cooling_electricity_kwh,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2025-2034,habitability,2025,2034,10,4.718447854656915e-17,0.8293698097880312,1,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2025-2034,operational_adequacy,2025,2034,10,-4.628242233906122e-16,0.48661607149376224,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2035-2044,energy_burden_secondary,2035,2044,10,0.6029723901807383,0.5490991139687337,0,annual_cooling_electricity_kwh,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2035-2044,habitability,2035,2044,10,0.4141760483075874,1.3060498478036802,1,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2035-2044,operational_adequacy,2035,2044,10,0.20874530746276965,0.6571738548672825,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2045-2054,energy_burden_secondary,2045,2054,10,0.8572966974027638,0.7284296170876562,0,annual_cooling_electricity_kwh,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2045-2054,habitability,2045,2054,10,0.4381103641682532,1.0762725308061794,1,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2045-2054,operational_adequacy,2045,2054,10,0.24613045806248052,0.8865723149896446,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2055-2064,energy_burden_secondary,2055,2064,10,2.190537268873077,0.8911465088229641,0,annual_cooling_electricity_kwh,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2055-2064,habitability,2055,2064,10,2.348639555136004,1.2699777884387664,1,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2055-2064,operational_adequacy,2055,2064,10,0.9286420526979038,0.7300950330938747,1,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2065-2074,energy_burden_secondary,2065,2074,10,2.1456593673311755,1.0518997308131055,0,annual_cooling_electricity_kwh,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2065-2074,habitability,2065,2074,10,1.6782923364086393,1.4979234001422348,2,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2065-2074,operational_adequacy,2065,2074,10,1.0538520800422237,0.6338137953554006,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2075-2084,energy_burden_secondary,2075,2084,10,3.3268933594586967,0.7054487576516667,0,annual_cooling_electricity_kwh,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2075-2084,habitability,2075,2084,10,2.766026776027069,2.0443099484597322,2,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2075-2084,operational_adequacy,2075,2084,10,1.6503364574485997,0.7153689235320689,1,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2085-2094,energy_burden_secondary,2085,2094,10,4.022488684494729,0.8763864159021965,0,annual_cooling_electricity_kwh,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2085-2094,habitability,2085,2094,10,3.070620289510193,1.3476281422686616,2,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2085-2094,operational_adequacy,2085,2094,10,2.303007710500838,0.7761697538814859,1,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2095-2100,energy_burden_secondary,2095,2100,6,4.060158260396441,1.3783821728093053,0,annual_cooling_electricity_kwh,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2095-2100,habitability,2095,2100,6,3.1670726469961075,2.0042348944585,2,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2095-2100,operational_adequacy,2095,2100,6,2.724141429521462,1.118838942183622,1,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
