scenario,building,city,climate_type,decade,metric,label,role,family,subfamily,unit,analysis_tier,failure_relevant,year_start,year_end,n_years,metric_value_mean,metric_value_sd,delta_abs_mean,delta_log_mean,delta_std_mean,breach_frequency_pct
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2025-2034,annual_cooling_electricity_kwh,Annual cooling electricity,response,building_responses,energy_burden,kWh,supporting,False,2025,2034,10,64384.16666667182,12050.653484350383,2.9103830456733705e-12,-0.016216177981466906,2.331468351712829e-16,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2025-2034,annual_edh_c_h,Annual EDH,response,building_responses,habitability,C h,main,True,2025,2034,10,128.09259,38.76437014239436,-5.684341886080802e-15,-0.0493230877664657,-1.582067810090848e-16,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2025-2034,annual_ghi_kwh_m2,Annual GHI,driver,climate_drivers,solar_burden,kWh/m2,main,False,2025,2034,10,1917.9189999999999,66.96762110652176,1.1368683772161603e-13,-0.0005596335620512427,1.7763568394002505e-15,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2025-2034,annual_heating_electricity_kwh,Annual heating electricity,response,building_responses,energy_burden,kWh,supporting,False,2025,2034,10,1708.6111111112477,657.2736561905962,2.2737367544323207e-14,-0.07959382466264682,6.106226635438361e-17,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2025-2034,annual_mean_drybulb_c,Annual mean dry-bulb temperature,driver,climate_drivers,thermal_shift,C,main,False,2025,2034,10,17.646389079147603,0.8562856800344703,-7.105427357601002e-16,-0.0010603093004611709,-8.743006318923108e-16,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2025-2034,cdd_18,Cooling degree days,driver,climate_drivers,demand_background,degree-days,main,False,2025,2034,10,685.044,161.71577173135177,1.1368683772161604e-14,-0.03162449420901403,7.840950111415169e-17,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2025-2034,cooling_peak_demand_kw,Cooling peak demand,response,building_responses,operational_adequacy,kW,main,False,2025,2034,10,65.08923,1.9505730024904067,-2.842170943040401e-15,-0.0003958532032684481,-1.5321077739827161e-15,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2025-2034,cooling_setpoint_not_met_occupied_hours,Cooling setpoint not met occupied hours,response,building_responses,operational_adequacy,h,main,True,2025,2034,10,234.36666666666468,60.89136248016991,5.684341886080802e-15,-0.03159541225655031,1.27675647831893e-16,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2025-2034,daily_edh_exceedance_days,Daily EDH exceedance days,response,building_responses,habitability,days,main,True,2025,2034,10,2.0,1.3333333333333333,0.0,-1.479633947764341,0.0,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2025-2034,hdd_18,Heating degree days,driver,climate_drivers,demand_background,degree-days,main,False,2025,2034,10,814.103,162.7577763323973,3.410605131648481e-14,-0.020653032107816483,2.2759572004815707e-16,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2025-2034,heating_peak_demand_kw,Heating peak demand,response,building_responses,operational_adequacy,kW,main,False,2025,2034,10,74.277419,39.16681077917443,6.394884621840902e-15,-0.08485028307695974,1.554312234475219e-16,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2025-2034,heating_unmet_hours,Heating unmet hours,response,building_responses,operational_adequacy,h,main,True,2025,2034,10,10.482,5.822276759710642,5.329070518200751e-16,-0.3320304426399442,6.661338147750939e-17,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2025-2034,heatwave_days,Heatwave days,driver,climate_drivers,persistence_heatwave,days,main,False,2025,2034,10,0.0,0.0,0.0,0.0,0.0,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2025-2034,indoor_rh_max_pct,Indoor RH max,response,building_responses,durability,%,supplementary,False,2025,2034,10,74.31741539768123,3.581246393098143,-5.684341886080802e-15,-0.0011212099997050195,-1.6875389974302379e-15,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2025-2034,maximum_consecutive_hot_days,Maximum consecutive hot days,driver,climate_drivers,persistence_heatwave,days,main,False,2025,2034,10,0.0,0.0,0.0,0.0,0.0,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2025-2034,maximum_daily_edh_k_h,Maximum daily EDH,response,building_responses,habitability,K h,main,True,2025,2034,10,7.571720000000001,1.970405705996159,0.0,-0.024397838325539455,5.551115123125783e-18,10.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2025-2034,maximum_delta_t_k,Maximum delta_t,response,building_responses,habitability,K,main,False,2025,2034,10,0.88601,0.1089995560643355,3.3306690738754695e-17,-0.006199020051450015,3.235259282696745e-16,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2025-2034,maximum_wetbulb_c,Maximum wet-bulb temperature,driver,climate_drivers,humid_heat_stress,C,main,False,2025,2034,10,26.026144974640726,1.3511550453290877,-3.552713678800501e-16,-0.001267414532348754,-2.7755575615628914e-16,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2025-2034,peak_ghi_w_m2,Peak GHI,driver,climate_drivers,solar_burden,W/m2,main,False,2025,2034,10,1166.56,50.86221474620319,6.821210263296962e-14,-0.0008422497472753143,1.404432126150823e-15,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2025-2034,peak_operative_temperature_c,Peak operative temperature,response,building_responses,habitability,C,main,False,2025,2034,10,26.886010989771307,0.10901232801429778,0.0,-7.369097791398716e-06,-1.3010426069826053e-17,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2025-2034,summer_mean_drybulb_c,Summer mean dry-bulb temperature,driver,climate_drivers,thermal_shift,C,main,False,2025,2034,10,20.22971,1.1815423493139043,-7.105427357601002e-16,-0.0015629154784488008,-6.661338147750939e-16,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2035-2044,annual_cooling_electricity_kwh,Annual cooling electricity,response,building_responses,energy_burden,kWh,supporting,False,2035,2044,10,71277.5000000057,6277.440372502297,6893.333333333887,0.09812172265404975,0.6029723901807383,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2035-2044,annual_edh_c_h,Annual EDH,response,building_responses,habitability,C h,main,True,2035,2044,10,157.29054,47.49766855548924,29.19795,0.16786587381009516,0.7939595447103206,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2035-2044,annual_ghi_kwh_m2,Annual GHI,driver,climate_drivers,solar_burden,kWh/m2,main,False,2035,2044,10,1938.926,51.047689946645875,21.00700000000013,0.010579059783967448,0.33065714300692156,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2035-2044,annual_heating_electricity_kwh,Annual heating electricity,response,building_responses,energy_burden,kWh,supporting,False,2035,2044,10,1672.7777777779115,442.0960332397717,-35.83333333333618,-0.05485198180647002,-0.05746715918709959,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2035-2044,annual_mean_drybulb_c,Annual mean dry-bulb temperature,driver,climate_drivers,thermal_shift,C,main,False,2035,2044,10,18.10735197869098,0.5617775804217251,0.4609628995433731,0.02535132190953058,0.5674479570625584,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2035-2044,cdd_18,Cooling degree days,driver,climate_drivers,demand_background,degree-days,main,False,2035,2044,10,776.938,94.24502672407823,91.89400000000002,0.11930349850745019,0.5989816581532097,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2035-2044,cooling_peak_demand_kw,Cooling peak demand,response,building_responses,operational_adequacy,kW,main,False,2035,2044,10,64.804968,2.149908254129311,-0.28426199999999824,-0.0048573958128669045,-0.15361560783883896,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2035-2044,cooling_setpoint_not_met_occupied_hours,Cooling setpoint not met occupied hours,response,building_responses,operational_adequacy,h,main,True,2035,2044,10,266.4999999999975,43.701357438591565,32.1333333333328,0.11656679307566228,0.5562612824319397,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2035-2044,daily_edh_exceedance_days,Daily EDH exceedance days,response,building_responses,habitability,days,main,True,2035,2044,10,2.3,1.888562063228706,0.3,-1.416773095155434,0.23717082451262844,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2035-2044,hdd_18,Heating degree days,driver,climate_drivers,demand_background,degree-days,main,False,2035,2044,10,737.737,151.94926346572979,-76.36599999999996,-0.11796133064651952,-0.49458055858260314,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2035-2044,heating_peak_demand_kw,Heating peak demand,response,building_responses,operational_adequacy,kW,main,False,2035,2044,10,73.861721,36.98874568777478,-0.415697999999994,-0.08591406210446735,-0.011187639676087024,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2035-2044,heating_unmet_hours,Heating unmet hours,response,building_responses,operational_adequacy,h,main,True,2035,2044,10,11.717,5.528950171596775,1.2350000000000008,-0.011634822585472836,0.22359024779520809,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2035-2044,heatwave_days,Heatwave days,driver,climate_drivers,persistence_heatwave,days,main,False,2035,2044,10,0.0,0.0,0.0,0.0,0.0,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2035-2044,indoor_rh_max_pct,Indoor RH max,response,building_responses,durability,%,supplementary,False,2035,2044,10,77.27212885761882,8.349564567832239,2.954713459937588,0.034384072616339356,0.8696808634899382,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2035-2044,maximum_consecutive_hot_days,Maximum consecutive hot days,driver,climate_drivers,persistence_heatwave,days,main,False,2035,2044,10,0.0,0.0,0.0,0.0,0.0,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2035-2044,maximum_daily_edh_k_h,Maximum daily EDH,response,building_responses,habitability,K h,main,True,2035,2044,10,8.514050000000001,3.0913597638328096,0.9423299999999999,0.049521549445393734,0.5041109213258774,20.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2035-2044,maximum_delta_t_k,Maximum delta_t,response,building_responses,habitability,K,main,False,2035,2044,10,0.89857,0.12122003913911628,0.012560000000000016,0.005179105343725438,0.12146290268152335,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2035-2044,maximum_wetbulb_c,Maximum wet-bulb temperature,driver,climate_drivers,humid_heat_stress,C,main,False,2035,2044,10,26.145398746397035,0.8668969139320905,0.11925377175630594,0.004074972748238847,0.09303485429483911,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2035-2044,peak_ghi_w_m2,Peak GHI,driver,climate_drivers,solar_burden,W/m2,main,False,2035,2044,10,1168.74,63.28173687741371,2.1800000000000637,0.0005797462050731283,0.04517934930390789,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2035-2044,peak_operative_temperature_c,Peak operative temperature,response,building_responses,habitability,C,main,False,2035,2044,10,26.898565977935657,0.12121428460501966,0.012554988164353275,0.000457707195826762,0.12140021016890679,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2035-2044,summer_mean_drybulb_c,Summer mean dry-bulb temperature,driver,climate_drivers,thermal_shift,C,main,False,2035,2044,10,20.35671,0.4432815620147337,0.12699999999999925,0.006046996860684129,0.11330085151682952,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2045-2054,annual_cooling_electricity_kwh,Annual cooling electricity,response,building_responses,energy_burden,kWh,supporting,False,2045,2054,10,74185.00000000594,8327.592178727893,9800.833333334118,0.1358523183635727,0.8572966974027638,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2045-2054,annual_edh_c_h,Annual EDH,response,building_responses,habitability,C h,main,True,2045,2054,10,158.00110999999998,44.305032824134855,29.90852,0.17439000029639146,0.8132815804588857,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2045-2054,annual_ghi_kwh_m2,Annual GHI,driver,climate_drivers,solar_burden,kWh/m2,main,False,2045,2054,10,1892.241,42.00866430472014,-25.677999999999884,-0.013702429311780761,-0.4041802312625144,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2045-2054,annual_heating_electricity_kwh,Annual heating electricity,response,building_responses,energy_burden,kWh,supporting,False,2045,2054,10,1168.8888888889824,284.94999922376934,-539.7222222222654,-0.4084784705214452,-0.8655712426398031,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2045-2054,annual_mean_drybulb_c,Annual mean dry-bulb temperature,driver,climate_drivers,thermal_shift,C,main,False,2045,2054,10,18.431498477929978,0.5398179184586462,0.7851093987823698,0.043141234710274604,0.9664741454268603,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2045-2054,cdd_18,Cooling degree days,driver,climate_drivers,demand_background,degree-days,main,False,2045,2054,10,815.794,138.75572662456534,130.75,0.16075799483013595,0.8522520709026938,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2045-2054,cooling_peak_demand_kw,Cooling peak demand,response,building_responses,operational_adequacy,kW,main,False,2045,2054,10,66.44148,3.4210341508672486,1.3522499999999973,0.019409926985535543,0.7307579124190742,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2045-2054,cooling_setpoint_not_met_occupied_hours,Cooling setpoint not met occupied hours,response,building_responses,operational_adequacy,h,main,True,2045,2054,10,283.08333333333246,57.590307504987386,48.71666666666779,0.1702015094089953,0.8433359587907802,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2045-2054,daily_edh_exceedance_days,Daily EDH exceedance days,response,building_responses,habitability,days,main,True,2045,2054,10,2.1,1.66332999331662,0.1,-1.4678556441987032,0.07905694150420947,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2045-2054,hdd_18,Heating degree days,driver,climate_drivers,demand_background,degree-days,main,False,2045,2054,10,658.299,71.18995597851021,-155.80399999999995,-0.21754679948388853,-1.009056770675483,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2045-2054,heating_peak_demand_kw,Heating peak demand,response,building_responses,operational_adequacy,kW,main,False,2045,2054,10,51.763628000000004,21.514812834984077,-22.513790999999994,-0.43296932735432814,-0.6059114584403457,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2045-2054,heating_unmet_hours,Heating unmet hours,response,building_responses,operational_adequacy,h,main,True,2045,2054,10,5.866,3.1509441265895033,-4.616,-0.7276238449857395,-0.8357024970224126,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2045-2054,heatwave_days,Heatwave days,driver,climate_drivers,persistence_heatwave,days,main,False,2045,2054,10,0.0,0.0,0.0,0.0,0.0,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2045-2054,indoor_rh_max_pct,Indoor RH max,response,building_responses,durability,%,supplementary,False,2045,2054,10,76.93944654782157,4.787479916793548,2.6220311501403373,0.03298893004201027,0.7717602216492869,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2045-2054,maximum_consecutive_hot_days,Maximum consecutive hot days,driver,climate_drivers,persistence_heatwave,days,main,False,2045,2054,10,0.3,0.6749485577105528,0.3,2.8324169796487864,0.39240418276826317,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2045-2054,maximum_daily_edh_k_h,Maximum daily EDH,response,building_responses,habitability,K h,main,True,2045,2054,10,8.68708,2.4723316344428117,1.1153599999999997,0.0961955306799623,0.5966754292127285,20.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2045-2054,maximum_delta_t_k,Maximum delta_t,response,building_responses,habitability,K,main,False,2045,2054,10,0.91325,0.11465107694411093,0.02724000000000003,0.0235412465077311,0.2634275054971892,0.0
