screening_weight_set,role,subfamily,metric,screening_score,screening_rank_within_role,screening_decision_raw,keep_drop_decision,screening_selected_for_analysis,retention_rule,weight_slope,weight_breach,weight_discrimination,weight_coverage,weight_volatility,weight_uniqueness
base,driver,thermal_shift,annual_mean_drybulb_c,0.6478912743456672,3,Keep,Keep,Yes,Driver block representative retained for thermal_shift,0.24,0.18,0.22,0.16,0.1,0.1
base,driver,thermal_shift,summer_mean_drybulb_c,0.585813531912935,5,Keep,Keep,Yes,,0.24,0.18,0.22,0.16,0.1,0.1
base,driver,demand_background,cdd_18,0.7703365776621898,1,Keep,Keep,Yes,Driver block representative retained for demand_background,0.24,0.18,0.22,0.16,0.1,0.1
base,driver,demand_background,hdd_18,0.7211516660817088,2,Keep,Keep,Yes,Driver block representative retained for demand_background,0.24,0.18,0.22,0.16,0.1,0.1
base,driver,humid_heat_stress,maximum_wetbulb_c,0.5166526260626685,7,Review,Keep,Yes,Driver block representative retained for humid_heat_stress,0.24,0.18,0.22,0.16,0.1,0.1
base,driver,solar_burden,annual_ghi_kwh_m2,0.5036023645308688,8,Review,Keep,Yes,Driver block representative retained for solar_burden,0.24,0.18,0.22,0.16,0.1,0.1
base,driver,solar_burden,peak_ghi_w_m2,0.43652439396093823,9,Drop,Drop,No,,0.24,0.18,0.22,0.16,0.1,0.1
base,driver,persistence_heatwave,heatwave_days,0.6342396365797052,4,Keep,Keep,Yes,Driver block representative retained for persistence_heatwave,0.24,0.18,0.22,0.16,0.1,0.1
base,driver,persistence_heatwave,maximum_consecutive_hot_days,0.5244087181639426,6,Review,Review,No,,0.24,0.18,0.22,0.16,0.1,0.1
base,response,habitability,peak_operative_temperature_c,0.4503433462217822,7,Review,Review,No,,0.24,0.18,0.22,0.16,0.1,0.1
base,response,habitability,maximum_delta_t_k,0.45456451019696376,6,Keep,Keep,Yes,,0.24,0.18,0.22,0.16,0.1,0.1
base,response,habitability,annual_edh_c_h,0.6471580868474219,1,Keep,Keep,Yes,,0.24,0.18,0.22,0.16,0.1,0.1
base,response,habitability,maximum_daily_edh_k_h,0.5623093686382359,3,Keep,Keep,Yes,,0.24,0.18,0.22,0.16,0.1,0.1
base,response,habitability,daily_edh_exceedance_days,0.4913996804166379,5,Keep,Keep,Yes,,0.24,0.18,0.22,0.16,0.1,0.1
base,response,operational_adequacy,cooling_setpoint_not_met_occupied_hours,0.5946097050561214,2,Keep,Keep,Yes,Core operational adequacy trigger,0.24,0.18,0.22,0.16,0.1,0.1
base,response,operational_adequacy,heating_unmet_hours,0.2909030569467001,12,Drop,Keep,Yes,Standard-threshold cold-climate operational adequacy trigger,0.24,0.18,0.22,0.16,0.1,0.1
base,response,operational_adequacy,cooling_peak_demand_kw,0.36014400654487194,10,Review,Priority Review,Yes,Peak demand is core operational adequacy evidence,0.24,0.18,0.22,0.16,0.1,0.1
base,response,operational_adequacy,heating_peak_demand_kw,0.30204305595674286,11,Drop,Review,No,Cold-climate peak demand supplementary diagnostic,0.24,0.18,0.22,0.16,0.1,0.1
base,response,energy_burden,annual_cooling_electricity_kwh,0.5057778927792408,4,Keep,Keep,Yes,,0.24,0.18,0.22,0.16,0.1,0.1
base,response,energy_burden,annual_heating_electricity_kwh,0.3668908133212021,8,Review,Review,No,,0.24,0.18,0.22,0.16,0.1,0.1
base,response,durability,indoor_rh_max_pct,0.3644444854647384,9,Review,Supplementary,No,Supplementary only; current data are not sufficient for main durability analysis,0.24,0.18,0.22,0.16,0.1,0.1
