climate_type,screening_weight_set,role,subfamily,metric,screening_score,screening_rank_within_role,screening_decision_raw,keep_drop_decision,screening_selected_for_analysis,retention_rule,weight_slope,weight_breach,weight_discrimination,weight_coverage,weight_volatility,weight_uniqueness
Am,base,driver,thermal_shift,annual_mean_drybulb_c,0.44472806180987234,3,Keep,Keep,Yes,Driver block representative retained for thermal_shift,0.24,0.18,0.22,0.16,0.1,0.1
Am,base,driver,thermal_shift,summer_mean_drybulb_c,0.3336268226307095,4,Keep,Keep,Yes,,0.24,0.18,0.22,0.16,0.1,0.1
Am,base,driver,demand_background,cdd_18,0.5021675086652618,2,Keep,Keep,Yes,Driver block representative retained for demand_background,0.24,0.18,0.22,0.16,0.1,0.1
Am,base,driver,demand_background,hdd_18,0.3261150138993673,5,Keep,Keep,Yes,Driver block representative retained for demand_background,0.24,0.18,0.22,0.16,0.1,0.1
Am,base,driver,humid_heat_stress,maximum_wetbulb_c,0.5396006753773718,1,Keep,Keep,Yes,Driver block representative retained for humid_heat_stress,0.24,0.18,0.22,0.16,0.1,0.1
Am,base,driver,solar_burden,annual_ghi_kwh_m2,0.316235348827793,6,Review,Keep,Yes,Driver block representative retained for solar_burden,0.24,0.18,0.22,0.16,0.1,0.1
Am,base,driver,solar_burden,peak_ghi_w_m2,0.2828589533778306,9,Drop,Drop,No,,0.24,0.18,0.22,0.16,0.1,0.1
Am,base,driver,persistence_heatwave,heatwave_days,0.28435261051036015,8,Review,Review,No,,0.24,0.18,0.22,0.16,0.1,0.1
Am,base,driver,persistence_heatwave,maximum_consecutive_hot_days,0.29502809696830945,7,Review,Keep,Yes,Driver block representative retained for persistence_heatwave,0.24,0.18,0.22,0.16,0.1,0.1
Am,base,response,habitability,peak_operative_temperature_c,0.2606162637988674,7,Review,Review,No,,0.24,0.18,0.22,0.16,0.1,0.1
Am,base,response,habitability,maximum_delta_t_k,0.2606155423291197,8,Review,Review,No,,0.24,0.18,0.22,0.16,0.1,0.1
Am,base,response,habitability,annual_edh_c_h,0.531028346826394,1,Keep,Keep,Yes,,0.24,0.18,0.22,0.16,0.1,0.1
Am,base,response,habitability,maximum_daily_edh_k_h,0.2992545346013062,5,Keep,Keep,Yes,,0.24,0.18,0.22,0.16,0.1,0.1
Am,base,response,habitability,daily_edh_exceedance_days,0.29927391593250563,4,Keep,Keep,Yes,,0.24,0.18,0.22,0.16,0.1,0.1
Am,base,response,operational_adequacy,cooling_setpoint_not_met_occupied_hours,0.4569803334648297,2,Keep,Keep,Yes,Core operational adequacy trigger,0.24,0.18,0.22,0.16,0.1,0.1
Am,base,response,operational_adequacy,heating_unmet_hours,0.12309615814906831,11,Drop,Keep,Yes,Standard-threshold cold-climate operational adequacy trigger,0.24,0.18,0.22,0.16,0.1,0.1
Am,base,response,operational_adequacy,cooling_peak_demand_kw,0.11924741148781384,12,Drop,Priority Review,Yes,Peak demand is core operational adequacy evidence,0.24,0.18,0.22,0.16,0.1,0.1
Am,base,response,operational_adequacy,heating_peak_demand_kw,0.12459275357569317,10,Review,Review,No,Cold-climate peak demand supplementary diagnostic,0.24,0.18,0.22,0.16,0.1,0.1
Am,base,response,energy_burden,annual_cooling_electricity_kwh,0.2881367063219421,6,Keep,Keep,Yes,,0.24,0.18,0.22,0.16,0.1,0.1
Am,base,response,energy_burden,annual_heating_electricity_kwh,0.1448344841387437,9,Review,Review,No,,0.24,0.18,0.22,0.16,0.1,0.1
Am,base,response,durability,indoor_rh_max_pct,0.36250329423640426,3,Keep,Supplementary,No,Supplementary only; current data are not sufficient for main durability analysis,0.24,0.18,0.22,0.16,0.1,0.1
Am,slope_minus20pct,driver,thermal_shift,annual_mean_drybulb_c,0.4671429522313906,3,Keep,Keep,Yes,Driver block representative retained for thermal_shift,0.20168067226890757,0.18907563025210083,0.23109243697478993,0.16806722689075632,0.1050420168067227,0.1050420168067227
Am,slope_minus20pct,driver,thermal_shift,summer_mean_drybulb_c,0.35044834309948475,4,Keep,Keep,Yes,,0.20168067226890757,0.18907563025210083,0.23109243697478993,0.16806722689075632,0.1050420168067227,0.1050420168067227
Am,slope_minus20pct,driver,demand_background,cdd_18,0.4770667107828381,2,Keep,Keep,Yes,Driver block representative retained for demand_background,0.20168067226890757,0.18907563025210083,0.23109243697478993,0.16806722689075632,0.1050420168067227,0.1050420168067227
Am,slope_minus20pct,driver,demand_background,hdd_18,0.34106230812230726,5,Keep,Keep,Yes,Driver block representative retained for demand_background,0.20168067226890757,0.18907563025210083,0.23109243697478993,0.16806722689075632,0.1050420168067227,0.1050420168067227
Am,slope_minus20pct,driver,humid_heat_stress,maximum_wetbulb_c,0.5668061922137033,1,Keep,Keep,Yes,Driver block representative retained for humid_heat_stress,0.20168067226890757,0.18907563025210083,0.23109243697478993,0.16806722689075632,0.1050420168067227,0.1050420168067227
Am,slope_minus20pct,driver,solar_burden,annual_ghi_kwh_m2,0.3315723793518607,6,Review,Keep,Yes,Driver block representative retained for solar_burden,0.20168067226890757,0.18907563025210083,0.23109243697478993,0.16806722689075632,0.1050420168067227,0.1050420168067227
Am,slope_minus20pct,driver,solar_burden,peak_ghi_w_m2,0.29623873488885377,9,Drop,Drop,No,,0.20168067226890757,0.18907563025210083,0.23109243697478993,0.16806722689075632,0.1050420168067227,0.1050420168067227
Am,slope_minus20pct,driver,persistence_heatwave,heatwave_days,0.298079751659831,8,Review,Review,No,,0.20168067226890757,0.18907563025210083,0.23109243697478993,0.16806722689075632,0.1050420168067227,0.1050420168067227
Am,slope_minus20pct,driver,persistence_heatwave,maximum_consecutive_hot_days,0.3096984145147204,7,Review,Keep,Yes,Driver block representative retained for persistence_heatwave,0.20168067226890757,0.18907563025210083,0.23109243697478993,0.16806722689075632,0.1050420168067227,0.1050420168067227
Am,slope_minus20pct,response,habitability,peak_operative_temperature_c,0.273756579620659,6,Keep,Keep,Yes,,0.20168067226890757,0.18907563025210083,0.23109243697478993,0.16806722689075632,0.1050420168067227,0.1050420168067227
